,zinc_id,gene_name,affinity,smiles
0,ZINC000013472722,DRTS_PLAFK,9.85,COC(=O)CCCc1nc(N)nc(N)c1-c1ccc(Cl)cc1
1,ZINC000000057464,DRTS_PLAFK,9.72,CCc1nc(N)nc(N)c1-c1ccc(Cl)cc1
2,ZINC000013282256,DRTS_PLAFK,9.52,CCc1nc(N)nc(N)c1-c1ccc(Br)cc1
3,ZINC000013472716,DRTS_PLAFK,9.52,CCc1nc(N)nc(N)c1-c1cccc(Cl)c1
4,ZINC000013472725,DRTS_PLAFK,9.52,CCCCCCc1nc(N)nc(N)c1-c1ccccc1
5,ZINC000013472741,DRTS_PLAFK,9.52,CCOc1cc(Cc2cnc(N)nc2N)ccc1OCc1cc(OC)c(OC)c(OC)c1
6,ZINC000013559310,DRTS_PLAFK,9.52,NC1=N[C@@H](c2ccc(Oc3ccccc3)cc2)N(c2cccc(Cl)c2)C(N)=N1
7,ZINC000013559311,DRTS_PLAFK,9.52,NC1=N[C@H](c2ccc(Oc3ccccc3)cc2)N(c2cccc(Cl)c2)C(N)=N1
8,ZINC000034801985,DRTS_PLAFK,9.52,CCCCCCC[C@@H]1N=C(N)N=C(N)N1c1cccc(Cl)c1
9,ZINC000034801986,DRTS_PLAFK,9.52,CCCCCCC[C@H]1N=C(N)N=C(N)N1c1cccc(Cl)c1
10,ZINC000013472712,DRTS_PLAFK,9.4,CCc1nc(N)nc(N)c1-c1ccc(C)cc1
11,ZINC000013472732,DRTS_PLAFK,9.4,Nc1nc(N)c(-c2cccc(Cl)c2)c(CCOCCCOc2ccccc2)n1
12,ZINC000013472742,DRTS_PLAFK,9.4,CCCOc1cc(Cc2cnc(N)nc2N)ccc1OCc1cc(OC)c(OC)c(OC)c1
13,ZINC000013472743,DRTS_PLAFK,9.4,CCCCOc1cc(Cc2cnc(N)nc2N)ccc1OCc1cc(OC)c(OC)c(OC)c1
14,ZINC000013559308,DRTS_PLAFK,9.4,NC1=N[C@@H](c2ccc(Oc3ccccc3)cc2)N(c2ccc(Cl)cc2)C(N)=N1
15,ZINC000013559309,DRTS_PLAFK,9.4,NC1=N[C@H](c2ccc(Oc3ccccc3)cc2)N(c2ccc(Cl)cc2)C(N)=N1
16,ZINC000013472726,DRTS_PLAFK,9.3,Nc1nc(N)c(-c2ccccc2)c(CCCc2ccccc2)n1
17,ZINC000013472729,DRTS_PLAFK,9.3,COC(=O)CCCc1nc(N)nc(N)c1-c1cccc(Cl)c1
18,ZINC000013559312,DRTS_PLAFK,9.3,NC1=N[C@@H](c2cccc(Oc3ccccc3)c2)N(c2ccc(Cl)cc2)C(N)=N1
19,ZINC000013559313,DRTS_PLAFK,9.3,NC1=N[C@H](c2cccc(Oc3ccccc3)c2)N(c2ccc(Cl)cc2)C(N)=N1
20,ZINC000013559324,DRTS_PLAFK,9.3,CCCOc1ccc([C@@H]2N=C(N)N=C(N)N2c2cccc(Cl)c2)cc1
21,ZINC000013559325,DRTS_PLAFK,9.3,CCCOc1ccc([C@H]2N=C(N)N=C(N)N2c2cccc(Cl)c2)cc1
22,ZINC000013472713,DRTS_PLAFK,9.22,CCc1nc(N)nc(N)c1-c1ccc(C(C)(C)C)cc1
23,ZINC000013472724,DRTS_PLAFK,9.22,COC(=O)CCCc1nc(N)nc(N)c1-c1ccccc1
24,ZINC000013472740,DRTS_PLAFK,9.22,COc1cc(Cc2cnc(N)nc2N)ccc1OCc1cc(OC)c(OC)c(OC)c1
25,ZINC000013476276,DRTS_PLAFK,9.22,CCCCCC[C@@]1(C)N=C(N)N=C(N)N1c1ccc(Cl)cc1
26,ZINC000013476277,DRTS_PLAFK,9.22,CCCCCC[C@]1(C)N=C(N)N=C(N)N1c1ccc(Cl)cc1
27,ZINC000013532899,DRTS_PLAFK,9.22,CCOc1cc(Cc2cnc(N)nc2N)ccc1OCCCOc1ccccc1
28,ZINC000013559326,DRTS_PLAFK,9.22,NC1=N[C@@H](c2cccc(Oc3cc(Cl)cc(Cl)c3)c2)N(c2cccc(Cl)c2)C(N)=N1
29,ZINC000013559327,DRTS_PLAFK,9.22,NC1=N[C@H](c2cccc(Oc3cc(Cl)cc(Cl)c3)c2)N(c2cccc(Cl)c2)C(N)=N1
30,ZINC000013559328,DRTS_PLAFK,9.22,NC1=N[C@@H](c2cccc(Oc3cccc(C(F)(F)F)c3)c2)N(c2cccc(Cl)c2)C(N)=N1
31,ZINC000013559329,DRTS_PLAFK,9.22,NC1=N[C@H](c2cccc(Oc3cccc(C(F)(F)F)c3)c2)N(c2cccc(Cl)c2)C(N)=N1
32,ZINC000013472723,DRTS_PLAFK,9.15,Nc1nc(N)c(-c2ccc(Cl)cc2)c(CCCc2ccccc2)n1
33,ZINC000013559295,DRTS_PLAFK,9.15,Nc1nc(N)c(-c2ccccc2)c(CCCOC(=O)c2ccccc2)n1
34,ZINC000013559316,DRTS_PLAFK,9.15,NC1=N[C@@H](c2cccc(OCc3ccccc3)c2)N(c2ccc(Cl)cc2)C(N)=N1
35,ZINC000013559317,DRTS_PLAFK,9.15,NC1=N[C@H](c2cccc(OCc3ccccc3)c2)N(c2ccc(Cl)cc2)C(N)=N1
36,ZINC000013472721,DRTS_PLAFK,9.13,Nc1ncc(-c2ccc(Cl)cc2)c(N)n1
