zinc_id,smiles
ZINC000013472722,COC(=O)CCCc1nc(N)nc(N)c1-c1ccc(Cl)cc1
ZINC000000057464,CCc1nc(N)nc(N)c1-c1ccc(Cl)cc1
ZINC000013282256,CCc1nc(N)nc(N)c1-c1ccc(Br)cc1
ZINC000013472716,CCc1nc(N)nc(N)c1-c1cccc(Cl)c1
ZINC000013472725,CCCCCCc1nc(N)nc(N)c1-c1ccccc1
ZINC000013472741,CCOc1cc(Cc2cnc(N)nc2N)ccc1OCc1cc(OC)c(OC)c(OC)c1
ZINC000013559310,NC1=N[C@@H](c2ccc(Oc3ccccc3)cc2)N(c2cccc(Cl)c2)C(N)=N1
ZINC000013559311,NC1=N[C@H](c2ccc(Oc3ccccc3)cc2)N(c2cccc(Cl)c2)C(N)=N1
ZINC000034801985,CCCCCCC[C@@H]1N=C(N)N=C(N)N1c1cccc(Cl)c1
ZINC000034801986,CCCCCCC[C@H]1N=C(N)N=C(N)N1c1cccc(Cl)c1
ZINC000013472712,CCc1nc(N)nc(N)c1-c1ccc(C)cc1
ZINC000013472732,Nc1nc(N)c(-c2cccc(Cl)c2)c(CCOCCCOc2ccccc2)n1
ZINC000013472742,CCCOc1cc(Cc2cnc(N)nc2N)ccc1OCc1cc(OC)c(OC)c(OC)c1
ZINC000013472743,CCCCOc1cc(Cc2cnc(N)nc2N)ccc1OCc1cc(OC)c(OC)c(OC)c1
ZINC000013559308,NC1=N[C@@H](c2ccc(Oc3ccccc3)cc2)N(c2ccc(Cl)cc2)C(N)=N1
ZINC000013559309,NC1=N[C@H](c2ccc(Oc3ccccc3)cc2)N(c2ccc(Cl)cc2)C(N)=N1
ZINC000013472726,Nc1nc(N)c(-c2ccccc2)c(CCCc2ccccc2)n1
ZINC000013472729,COC(=O)CCCc1nc(N)nc(N)c1-c1cccc(Cl)c1
ZINC000013559312,NC1=N[C@@H](c2cccc(Oc3ccccc3)c2)N(c2ccc(Cl)cc2)C(N)=N1
ZINC000013559313,NC1=N[C@H](c2cccc(Oc3ccccc3)c2)N(c2ccc(Cl)cc2)C(N)=N1
ZINC000013559324,CCCOc1ccc([C@@H]2N=C(N)N=C(N)N2c2cccc(Cl)c2)cc1
ZINC000013559325,CCCOc1ccc([C@H]2N=C(N)N=C(N)N2c2cccc(Cl)c2)cc1
ZINC000013472713,CCc1nc(N)nc(N)c1-c1ccc(C(C)(C)C)cc1
ZINC000013472724,COC(=O)CCCc1nc(N)nc(N)c1-c1ccccc1
ZINC000013472740,COc1cc(Cc2cnc(N)nc2N)ccc1OCc1cc(OC)c(OC)c(OC)c1
ZINC000013476276,CCCCCC[C@@]1(C)N=C(N)N=C(N)N1c1ccc(Cl)cc1
ZINC000013476277,CCCCCC[C@]1(C)N=C(N)N=C(N)N1c1ccc(Cl)cc1
ZINC000013532899,CCOc1cc(Cc2cnc(N)nc2N)ccc1OCCCOc1ccccc1
ZINC000013559326,NC1=N[C@@H](c2cccc(Oc3cc(Cl)cc(Cl)c3)c2)N(c2cccc(Cl)c2)C(N)=N1
ZINC000013559327,NC1=N[C@H](c2cccc(Oc3cc(Cl)cc(Cl)c3)c2)N(c2cccc(Cl)c2)C(N)=N1
ZINC000013559328,NC1=N[C@@H](c2cccc(Oc3cccc(C(F)(F)F)c3)c2)N(c2cccc(Cl)c2)C(N)=N1
ZINC000013559329,NC1=N[C@H](c2cccc(Oc3cccc(C(F)(F)F)c3)c2)N(c2cccc(Cl)c2)C(N)=N1
ZINC000013472723,Nc1nc(N)c(-c2ccc(Cl)cc2)c(CCCc2ccccc2)n1
ZINC000013559295,Nc1nc(N)c(-c2ccccc2)c(CCCOC(=O)c2ccccc2)n1
ZINC000013559316,NC1=N[C@@H](c2cccc(OCc3ccccc3)c2)N(c2ccc(Cl)cc2)C(N)=N1
ZINC000013559317,NC1=N[C@H](c2cccc(OCc3ccccc3)c2)N(c2ccc(Cl)cc2)C(N)=N1
ZINC000013472721,Nc1ncc(-c2ccc(Cl)cc2)c(N)n1
ZINC000000001409,CCc1nc(N)nc(N)c1-c1ccc(Cl)c(Cl)c1
ZINC000013472734,CCOc1cc(Cc2cnc(N)nc2N)ccc1OCc1ccccc1
ZINC000013559296,Nc1nc(N)c(-c2cccc(Cl)c2)c(CCCOC(=O)c2ccccc2)n1
ZINC000013559297,Nc1nc(N)c(-c2cccc(Cl)c2)c(CCCOC(=O)OCc2ccccc2)n1
ZINC000013282284,Cc1nc(N)nc(N)c1-c1ccc(Cl)cc1
ZINC000013809204,NC1=NCN(c2ccc(Cl)cc2)C(N)=N1
ZINC000013472715,CCc1nc(N)nc(N)c1-c1ccc(OC)cc1
ZINC000013472744,Nc1ncc(Cc2ccc(OCCCOc3cc(Cl)c(Cl)cc3Cl)cc2)c(N)n1
ZINC000013472718,CCc1nc(N)nc(N)c1-c1ccc(Cl)cc1Cl
ZINC000013472719,CCc1nc(N)nc(N)c1-c1ccc(OCc2ccc(Cl)cc2Cl)c(OC)c1
ZINC000013532888,CCOc1cc(Cc2cnc(N)nc2N)ccc1OCCCc1ccccc1
ZINC000013555336,CCc1nc(N)nc(N)c1-c1cccc(OC)c1
ZINC000000001233,CC1(C)N=C(N)N=C(N)N1c1ccc(Cl)cc1
ZINC000000146421,CC1(C)N=C(N)N=C(N)N1c1ccc(Br)cc1
ZINC000001666573,CC1(C)N=C(N)N=C(N)N1c1ccc(Cl)c(Cl)c1
ZINC000003581056,CC1(C)N=C(N)N=C(N)N1OCCCOc1cc(Cl)c(Cl)cc1Cl
ZINC000013472717,CCc1nc(N)nc(N)c1-c1ccc2c(c1)OCO2
ZINC000013559314,NC1=N[C@@H](c2cccc(Oc3ccccc3)c2)N(c2cccc(Cl)c2)C(N)=N1
ZINC000013559315,NC1=N[C@H](c2cccc(Oc3ccccc3)c2)N(c2cccc(Cl)c2)C(N)=N1
ZINC000013472730,Nc1nc(N)c(-c2cccc(Cl)c2)c(CCCc2ccccc2)n1
ZINC000013472731,COc1ccc(CCCc2nc(N)nc(N)c2-c2cccc(Cl)c2)cc1
ZINC000013472739,COc1cc(COc2ccc(Cc3cnc(N)nc3N)cc2)cc(OC)c1OC
