molecule_zinc_id,molecule_chembl_id,smiles_clean,pKi_mean_value,pKi_last_value,pKi_first_value,target_organism
ZINC000000000640,CHEMBL13799,COc1ccc(OC)c(Cc2cnc3nc(N)nc(N)c3c2C)c1,8.544,7.42,10.6,Homo sapiens
ZINC000000001233,CHEMBL53022,CC1(C)N=C(N)N=C(N)N1c1ccc(Cl)cc1,7.25,7.25,7.25,Homo sapiens
ZINC000000005734,CHEMBL13799,CCC(CC)n1c(C)cc2c3c(N)nc(N)nc3ccc21,9.52,9.52,9.52,Homo sapiens
ZINC000000006585,CHEMBL13858,COc1ccc(OC)c(CN(C)c2cnc3nc(N)nc(N)c3c2)c1,5.07,5.07,5.07,Homo sapiens
ZINC000000007486,CHEMBL16403,COc1ccc(C)c(NCc2cnc3nc(N)nc(N)c3c2C)c1,6.82,6.82,6.82,Homo sapiens
ZINC000000007637,CHEMBL16403,Cc1c(CNc2ccccc2Cl)cnc2nc(N)nc(N)c12,6.92,6.92,6.92,Homo sapiens
ZINC000000015885,CHEMBL13799,CCC(CC)n1ccc2c3c(N)nc(N)nc3ccc21,8.265,8.18,8.35,Homo sapiens
ZINC000000024946,CHEMBL9190,COc1ccc(Cc2cnc(N)nc2N)cc1OC,6.28,6.28,6.28,Homo sapiens
ZINC000000057464,CHEMBL15190,CCc1nc(N)nc(N)c1-c1ccc(Cl)cc1,6.6530000000000005,7.01,7.96,Homo sapiens
ZINC000000172633,CHEMBL13052,Cc1ccc(Sc2cccc3nc(N)nc(N)c23)cc1,6.03,6.03,6.03,Homo sapiens
ZINC000000172636,CHEMBL90243,Nc1nc(N)c2c(Sc3ccc(Cl)cc3)cccc2n1,6.3,5.68,6.92,Homo sapiens
ZINC000000289771,CHEMBL15190,CCOc1ccc(Cc2cnc(N)nc2N)cc1,6.699999999999999,8.01,6.89,Homo sapiens
ZINC000000538490,CHEMBL13279,CN(C)C(=O)c1cccc(COc2ccc(N3C(N)=NC(N)=NC3(C)C)cc2Cl)c1,7.11,7.11,7.11,Homo sapiens
ZINC000000598590,CHEMBL17520,CCOc1cc(Cc2cnc(N)nc2N)cc(OCC)c1-n1cccc1,6.965,7.23,6.7,Homo sapiens
ZINC000000598852,CHEMBL13052,COc1cc(NCc2ccc3nc(N)nc(N)c3c2C)cc(OC)c1OC,8.004999999999999,7.05,9.0,Homo sapiens
ZINC000000974809,CHEMBL69872,CCOC(=O)C1=C(C)NC(=S)N[C@H]1c1ccccc1OC,5.72,5.72,5.72,Homo sapiens
ZINC000000974810,CHEMBL69872,CCOC(=O)C1=C(C)NC(=S)N[C@@H]1c1ccccc1OC,5.72,5.72,5.72,Homo sapiens
ZINC000001486728,CHEMBL58709,COc1cc(Cc2cnc(N)nc2N)c2c(c1OC)O[C@@H](C1CC1)C=C2,6.773333333333333,8.1,6.11,Homo sapiens
ZINC000001489187,CHEMBL16403,COc1ccc(C(F)(F)F)cc1NCc1cnc2nc(N)nc(N)c2c1C,8.57,8.57,8.57,Homo sapiens
ZINC000001529323,CHEMBL3129,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1,8.104754098360656,8.05,10.42,Homo sapiens
ZINC000001540998,CHEMBL17380,Nc1nc2[nH]cc(CCc3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc3)c2c(=O)[nH]1,5.75875,8.14,5.85,Homo sapiens
ZINC000001542008,CHEMBL10743,C=C(C[C@H](NC(=O)c1ccc(CCc2cnc3nc(N)nc(N)c3n2)cc1)C(=O)O)C(=O)O,8.06,8.06,8.06,Homo sapiens
ZINC000001542012,CHEMBL1979,Nc1ncc(CCCc2ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc2)c(N)n1,9.92,9.92,9.92,Homo sapiens
ZINC000001549190,CHEMBL16403,CCCOc1ccc(OCCC)c(NCc2cnc3nc(N)nc(N)c3c2C)c1,5.14,5.14,5.14,Homo sapiens
ZINC000001553987,CHEMBL17380,CCc1nc(N)nc2[nH]cc(CCc3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc3)c12,6.04,6.04,6.04,Homo sapiens
ZINC000001554703,CHEMBL13371,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@H](C(=O)O)C(F)(F)CC(=O)O)cc1,8.87,8.87,8.87,Homo sapiens
ZINC000001565328,CHEMBL9629,Cc1c(NCc2ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc2)ccc2nc(N)[nH]c(=O)c12,6.34,6.34,6.34,Homo sapiens
ZINC000001565329,CHEMBL9629,Cc1c(NCc2ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc2)ccc2nc(N)nc(N)c12,8.39,8.39,8.39,Homo sapiens
ZINC000001565330,CHEMBL9629,Nc1nc(N)c2cc(NCc3ccc(C(=O)N[C@H](CCC(=O)O)C(=O)O)cc3)ccc2n1,8.07,8.07,8.07,Homo sapiens
