molecule_chembl_id,molecule_zinc_id,smiles_clean,pKi_mean_value,pKi_last_value,pKi_first_value,target_organism
CHEMBL21047,ZINC000000001233,CC1(C)N=C(N)N=C(N)N1c1ccc(Cl)cc1,6.976999999999999,7.09,8.96,PFLAK
CHEMBL21047,ZINC000000001409,CCc1nc(N)nc(N)c1-c1ccc(Cl)c(Cl)c1,8.27875,8.05,9.1,PFLAK
CHEMBL17636,ZINC000000010466,COc1cc(Cc2cnc(N)nc2N)ccc1OCc1ccccc1,6.878181818181818,6.15,5.86,PFLAK
CHEMBL17636,ZINC000000024946,COc1ccc(Cc2cnc(N)nc2N)cc1OC,6.716666666666666,5.58,7.94,PFLAK
CHEMBL21047,ZINC000000040057,Nc1ncc(-c2ccccc2)c(N)n1,7.1475,7.09,7.0,PFLAK
CHEMBL11357,ZINC000000057464,CCc1nc(N)nc(N)c1-c1ccc(Cl)cc1,7.912000000000001,6.07,9.72,PFLAK
CHEMBL21047,ZINC000000128065,N/N=C(\S)Nc1ccc(OCc2ccccc2)cc1,5.49,5.28,5.7,PFLAK
CHEMBL15522,ZINC000000146421,CC1(C)N=C(N)N=C(N)N1c1ccc(Br)cc1,7.863333333333333,5.71,8.96,PFLAK
CHEMBL17636,ZINC000000380804,COc1ccc(Cc2cnc(N)nc2N)cc1,6.453333333333333,6.33,7.63,PFLAK
CHEMBL15522,ZINC000001666573,CC1(C)N=C(N)N=C(N)N1c1ccc(Cl)c(Cl)c1,8.266666666666667,6.88,8.96,PFLAK
CHEMBL17662,ZINC000001666576,CC1(C)N=C(N)N=C(N)N1c1cccc(Cl)c1,7.207692307692308,7.05,5.89,PFLAK
CHEMBL15522,ZINC000001722911,CC[C@@H]1N=C(N)N=C(N)N1c1ccc(Cl)cc1,7.58,8.44,6.72,PFLAK
CHEMBL17662,ZINC000001748451,NC1=N[C@@H](c2ccccc2)N(c2ccc(Cl)cc2)C(N)=N1,7.052857142857143,7.31,5.73,PFLAK
CHEMBL15522,ZINC000001749924,NC1=N[C@@H](c2ccccc2)N(c2cccc(Cl)c2)C(N)=N1,7.024615384615384,6.01,8.0,PFLAK
CHEMBL15522,ZINC000002034275,CC(C)[C@H]1N=C(N)N=C(N)N1c1ccc(Cl)cc1,6.515,7.22,5.81,PFLAK
CHEMBL15522,ZINC000002034277,CC(C)[C@@H]1N=C(N)N=C(N)N1c1ccc(Cl)cc1,6.515,7.22,5.81,PFLAK
CHEMBL15522,ZINC000002034278,C[C@H]1N=C(N)N=C(N)N1c1ccc(Cl)cc1,6.98,8.39,6.9,PFLAK
CHEMBL15522,ZINC000002034279,C[C@@H]1N=C(N)N=C(N)N1c1ccc(Cl)cc1,6.98,8.39,6.9,PFLAK
CHEMBL17071,ZINC000002571257,NC(=S)N/N=C/c1ccc(Oc2ncc(C(F)(F)F)cc2Cl)cc1,5.234,5.03,5.64,PFLAK
CHEMBL15522,ZINC000003076473,Cc1ccc(N2C(N)=NC(N)=N[C@@H]2c2ccccc2)cc1,7.439999999999999,8.11,6.77,PFLAK
CHEMBL15522,ZINC000003076474,Cc1ccc(N2C(N)=NC(N)=N[C@H]2c2ccccc2)cc1,7.439999999999999,8.11,6.77,PFLAK
CHEMBL17071,ZINC000003133773,C=CCNC(=S)NNC(=O)c1cccn(Cc2cccc(Cl)c2)c1=O,5.72,6.39,5.0,PFLAK
CHEMBL17636,ZINC000003157274,CCCOc1ccc(Cc2cnc(N)nc2N)cc1,6.5675,6.67,5.96,PFLAK
CHEMBL21047,ZINC000003581056,CC1(C)N=C(N)N=C(N)N1OCCCOc1cc(Cl)c(Cl)cc1Cl,8.96,8.96,8.96,PFLAK
CHEMBL21047,ZINC000004322438,N/C(=N\O)c1ccc(CNC(=O)c2ccc(Cl)cc2)cc1,5.82,5.82,5.82,PFLAK
CHEMBL21047,ZINC000004394094,N/C(=N\O)c1ccc(Oc2cc(Cl)cc(Cl)c2)c([N+](=O)[O-])c1,5.445,5.01,5.77,PFLAK
CHEMBL17071,ZINC000004394823,N/C(=N/O)c1ccc(Oc2c(Cl)cncc2Cl)cc1,5.62,6.03,5.21,PFLAK
CHEMBL15522,ZINC000004821963,C[C@H]1N=C(N)N=C(N)N1c1ccc(Cl)c(Cl)c1,8.3,7.75,8.85,PFLAK
CHEMBL15522,ZINC000004983774,CC[C@H]1N=C(N)N=C(N)N1c1ccc(Cl)cc1,7.58,8.44,6.72,PFLAK
CHEMBL21047,ZINC000005372203,Cc1cc2nc3n(c2cc1C)C(C)(C)NC(N)=N3,6.74,6.74,6.74,PFLAK
CHEMBL21047,ZINC000005765026,Cc1[nH]c(N)cc2nc3ccccc3c1-2,5.64,5.64,5.64,PFLAK
