molecule_chembl_id,smiles_clean,pKi_mean_value,pKi_first_value,target_organism
CHEMBL2364573,NC(=O)c1ccc[n+]([C@H]2O[C@@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@H](O)[C@@H]2O)c1,8.327902142064282,8.327902142064282,Plasmodium falciparum K1
CHEMBL324775,CCCCCCCOc1cc(Cc2cnc(N)nc2N)ccc1OC,8.508638306165727,8.508638306165727,Plasmodium falciparum K1
CHEMBL416373,CCCCOc1cc(Cc2cnc(N)nc2N)ccc1OCc1cc(OC)c(OC)c(OC)c1,9.397940008672036,9.397940008672036,Plasmodium falciparum K1
CHEMBL291931,COc1ccc(Cc2cnc(N)nc2N)cc1OCc1ccccc1,8.142667503568731,8.142667503568731,Plasmodium falciparum K1
CHEMBL119188,CCOc1cc(Cc2cnc(N)nc2N)ccc1OCCCOc1ccccc1,9.221848749616356,9.221848749616356,Plasmodium falciparum K1
CHEMBL747,CC1(C)N=C(N)N=C(N)N1c1ccc(Cl)cc1,6.339049188669717,8.585026652029182,Plasmodium falciparum K1
CHEMBL29773,CCc1nc(N)nc(N)c1-c1cccc(OC)c1,7.732007409634417,8.97061622231479,Plasmodium falciparum K1
CHEMBL30937,CCCCCCCOc1ccc(Cc2cnc(N)nc2N)cc1,7.7495799976911055,7.7495799976911055,Plasmodium falciparum K1
CHEMBL22138,Nc1ncc(Cc2ccc(OCc3ccccc3)c(OCc3ccccc3)c2)c(N)n1,8.769551078621726,8.769551078621726,Plasmodium falciparum K1
CHEMBL56146,Nc1ncc(Cc2ccc(OCc3ccccc3)cc2)c(N)n1,8.187086643357144,8.187086643357144,Plasmodium falciparum K1
CHEMBL119086,CCCOc1cc(Cc2c(N)nc(N)nc2CC)ccc1OCc1cc(OC)c(OC)c(OC)c1,8.744727494896694,8.744727494896694,Plasmodium falciparum K1
CHEMBL325533,COc1cc(Cc2c(C)nc(N)nc2N)cc(OC)c1OC,7.4179366370882915,7.4179366370882915,Plasmodium falciparum K1
CHEMBL326989,CCCOc1ccc(Cc2cnc(N)nc2N)cc1,7.82102305270683,7.82102305270683,Plasmodium falciparum K1
CHEMBL22139,CCCOc1cc(Cc2cnc(N)nc2N)ccc1OCc1cc(OC)c(OC)c(OC)c1,9.397940008672036,9.397940008672036,Plasmodium falciparum K1
CHEMBL274031,Nc1ncc(Cc2cccc(OCc3ccccc3)c2)c(N)n1,8.200659450546418,8.200659450546418,Plasmodium falciparum K1
CHEMBL118581,CCCCOc1cc(Cc2cnc(N)nc2N)ccc1OC,8.602059991327963,8.602059991327963,Plasmodium falciparum K1
CHEMBL119224,Nc1ncc(Cc2cccc(Oc3ccccc3)c2)c(N)n1,8.275724130399212,8.275724130399212,Plasmodium falciparum K1
CHEMBL22137,CCc1nc(N)nc(N)c1Cc1ccc(OCc2ccccc2)c(OCc2ccccc2)c1,8.431798275933005,8.431798275933005,Plasmodium falciparum K1
