smiles zinc_id ortholog_name gene_name affinity chembldocid title reference.pubmed_id reference.doi reference.chembl_id
CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1 ZINC000001529323 DYR_BOVIN DHFR 8.77 8611 None 4009615 None CHEMBL1122902
CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1 ZINC000001529323 DYR_BOVIN DHFR 8.48 8249 None 6585550 None CHEMBL1122648
CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1 ZINC000001529323 DYR_BOVIN DHFR 8.47 58277 None 20036565 None CHEMBL1799979
CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1 ZINC000001529323 DYR_BOVIN DHFR 8.1 90791 None 25139568 None CHEMBL3352542
CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1 ZINC000001529323 DYR_BOVIN DHFR 7.1 50832 None 20350811 None CHEMBL1156232
CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1 ZINC000001529323 DYR_BOVIN DHFR 7.1 73405 None 23454532 None CHEMBL2375290
CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1 ZINC000001529323 DYR_BOVIN DHFR 7.1 74487 None 23792351 None CHEMBL2413018
CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1 ZINC000001529323 DYR_BOVIN DHFR 7.1 76931 None 24469112 None CHEMBL3112482
CCCCOC(=O)CC[C@@H](NC(=O)c1ccc(N(C)Cc2cnc3nc(N)nc(N)c3n2)cc1)C(=O)O ZINC000005386247 DYR_BOVIN DHFR 8.27 8249 None 6585550 None CHEMBL1122648
CCCCOC(=O)CC[C@H](NC(=O)c1ccc(N(C)Cc2cnc3nc(N)nc(N)c3n2)cc1)C(=O)O ZINC000017109654 DYR_BOVIN DHFR 8.27 8249 None 6585550 None CHEMBL1122648
CCCCOC(=O)[C@@H](CCC(=O)O)NC(=O)c1ccc(N(C)Cc2cnc3nc(N)nc(N)c3n2)cc1 ZINC000027656833 DYR_BOVIN DHFR 7.25 8249 None 6585550 None CHEMBL1122648
CCCCOC(=O)[C@H](CCC(=O)O)NC(=O)c1ccc(N(C)Cc2cnc3nc(N)nc(N)c3n2)cc1 ZINC000027656835 DYR_BOVIN DHFR 7.25 8249 None 6585550 None CHEMBL1122648
CCCCCCCCOC(=O)CC[C@H](NC(=O)c1ccc(N(C)Cc2cnc3nc(N)nc(N)c3n2)cc1)C(=O)O ZINC000034801968 DYR_BOVIN DHFR 8.27 8249 None 6585550 None CHEMBL1122648
CCCCCCCCOC(=O)CC[C@@H](NC(=O)c1ccc(N(C)Cc2cnc3nc(N)nc(N)c3n2)cc1)C(=O)O ZINC000034801969 DYR_BOVIN DHFR 8.27 8249 None 6585550 None CHEMBL1122648
CCCCCCCCCCCCOC(=O)[C@@H](CCC(=O)O)NC(=O)c1ccc(N(C)Cc2cnc3nc(N)nc(N)c3n2)cc1 ZINC000034801970 DYR_BOVIN DHFR 6.36 8249 None 6585550 None CHEMBL1122648
CCCCCCCCCCCCOC(=O)[C@H](CCC(=O)O)NC(=O)c1ccc(N(C)Cc2cnc3nc(N)nc(N)c3n2)cc1 ZINC000034801971 DYR_BOVIN DHFR 6.36 8249 None 6585550 None CHEMBL1122648
CCCCCCCCOC(=O)[C@@H](CCC(=O)O)NC(=O)c1ccc(N(C)Cc2cnc3nc(N)nc(N)c3n2)cc1 ZINC000034801972 DYR_BOVIN DHFR 6.44 8249 None 6585550 None CHEMBL1122648
CCCCCCCCOC(=O)[C@H](CCC(=O)O)NC(=O)c1ccc(N(C)Cc2cnc3nc(N)nc(N)c3n2)cc1 ZINC000034801973 DYR_BOVIN DHFR 6.44 8249 None 6585550 None CHEMBL1122648
CCCCCCCCCCCCOC(=O)CC[C@H](NC(=O)c1ccc(N(C)Cc2cnc3nc(N)nc(N)c3n2)cc1)C(=O)O ZINC000034801974 DYR_BOVIN DHFR 7.47 8249 None 6585550 None CHEMBL1122648
CCCCCCCCCCCCOC(=O)CC[C@@H](NC(=O)c1ccc(N(C)Cc2cnc3nc(N)nc(N)c3n2)cc1)C(=O)O ZINC000034801975 DYR_BOVIN DHFR 7.47 8249 None 6585550 None CHEMBL1122648
CCCCCCCCCCCCCCCCOC(=O)CC[C@H](NC(=O)c1ccc(N(C)Cc2cnc3nc(N)nc(N)c3n2)cc1)C(=O)O ZINC000034801976 DYR_BOVIN DHFR 7.43 8249 None 6585550 None CHEMBL1122648
CCCCCCCCCCCCCCCCOC(=O)CC[C@@H](NC(=O)c1ccc(N(C)Cc2cnc3nc(N)nc(N)c3n2)cc1)C(=O)O ZINC000034801977 DYR_BOVIN DHFR 7.43 8249 None 6585550 None CHEMBL1122648
CCCCCCCCCCCCCCCCOC(=O)[C@@H](CCC(=O)O)NC(=O)c1ccc(N(C)Cc2cnc3nc(N)nc(N)c3n2)cc1 ZINC000034801978 DYR_BOVIN DHFR 5.92 8249 None 6585550 None CHEMBL1122648
CCCCCCCCCCCCCCCCOC(=O)[C@H](CCC(=O)O)NC(=O)c1ccc(N(C)Cc2cnc3nc(N)nc(N)c3n2)cc1 ZINC000034801979 DYR_BOVIN DHFR 5.92 8249 None 6585550 None CHEMBL1122648
C=CCNc1ccc2nc(SC)n(Cc3ccccc3)c(=O)c2c1 ZINC000049066508 DYR_BOVIN DHFR 6.22 50832 None 20350811 None CHEMBL1156232
Cc1ccc2nc(SCc3ccccc3)n(Cc3ccccc3)c(=O)c2c1 ZINC000049069528 DYR_BOVIN DHFR 5 50832 None 20350811 None CHEMBL1156232
O=c1c2cc([N+](=O)[O-])ccc2nc(SC/C=C/c2ccccc2)n1Cc1ccccc1 ZINC000049069934 DYR_BOVIN DHFR 5.3 50832 None 20350811 None CHEMBL1156232
C=CCSc1nc2ccc(NC(=O)/C=C/c3ccccc3)cc2c(=O)n1Cc1ccccc1 ZINC000049070683 DYR_BOVIN DHFR 6.15 50832 None 20350811 None CHEMBL1156232
Cc1ccc2nc(SC/C=C/c3ccccc3)n(Cc3ccccc3)c(=O)c2c1 ZINC000049071126 DYR_BOVIN DHFR 6.3 50832 None 20350811 None CHEMBL1156232
Nc1ccc2nc(SC/C=C/c3ccccc3)n(Cc3ccccc3)c(=O)c2c1 ZINC000049071253 DYR_BOVIN DHFR 5.1 50832 None 20350811 None CHEMBL1156232
CSc1nc2ccc(N(C/C=C/c3ccccc3)C/C=C/c3ccccc3)cc2c(=O)n1Cc1ccccc1 ZINC000049071960 DYR_BOVIN DHFR 6.22 50832 None 20350811 None CHEMBL1156232
C=CCN(C)c1ccc2nc(SC)n(Cc3ccccc3)c(=O)c2c1 ZINC000049071988 DYR_BOVIN DHFR 6 50832 None 20350811 None CHEMBL1156232
C=CCSc1nc2ccc(N(CC=C)CC=C)cc2c(=O)n1Cc1ccccc1 ZINC000049072129 DYR_BOVIN DHFR 6.4 50832 None 20350811 None CHEMBL1156232
Cc1ccc2c(c1)c(=O)n(Cc1ccccc1)c(=S)n2[C@H](O)/C=C/c1ccccc1 ZINC000049072819 DYR_BOVIN DHFR 5.3 50832 None 20350811 None CHEMBL1156232
Cc1ccc2c(c1)c(=O)n(Cc1ccccc1)c(=S)n2[C@@H](O)/C=C/c1ccccc1 ZINC000049072821 DYR_BOVIN DHFR 5.3 50832 None 20350811 None CHEMBL1156232
C=CCNc1ccc2nc(SCC=C)n(Cc3ccccc3)c(=O)c2c1 ZINC000049073415 DYR_BOVIN DHFR 6.1 50832 None 20350811 None CHEMBL1156232
CSc1nc2ccc(NC(=O)/C=C/c3ccccc3)cc2c(=O)n1Cc1ccccc1 ZINC000049073445 DYR_BOVIN DHFR 6.22 50832 None 20350811 None CHEMBL1156232
C=CCSc1nc2ccc(N)cc2c(=O)n1Cc1ccccc1 ZINC000049087936 DYR_BOVIN DHFR 5.1 50832 None 20350811 None CHEMBL1156232
C=CCSc1nc2ccc(NC/C=C/c3ccccc3)cc2c(=O)n1Cc1ccccc1 ZINC000049109386 DYR_BOVIN DHFR 5.3 50832 None 20350811 None CHEMBL1156232
CSc1nc2ccc(N)cc2c(=O)n1Cc1ccccc1 ZINC000049111297 DYR_BOVIN DHFR 5 50832 None 20350811 None CHEMBL1156232
C=CCSc1nc2ccc([N+](=O)[O-])cc2c(=O)n1Cc1ccccc1 ZINC000049111669 DYR_BOVIN DHFR 5.52 50832 None 20350811 None CHEMBL1156232
C=CCSc1nc2ccc(NC(=O)C=C)cc2c(=O)n1Cc1ccccc1 ZINC000049112288 DYR_BOVIN DHFR 5 50832 None 20350811 None CHEMBL1156232
C=CCSc1nc2ccc(C)cc2c(=O)n1Cc1ccccc1 ZINC000049112397 DYR_BOVIN DHFR 5.7 50832 None 20350811 None CHEMBL1156232
O=c1c2cc([N+](=O)[O-])ccc2n([C@H](O)/C=C/c2ccccc2)c(=S)n1Cc1ccccc1 ZINC000049112463 DYR_BOVIN DHFR 5 50832 None 20350811 None CHEMBL1156232
O=c1c2cc([N+](=O)[O-])ccc2n([C@@H](O)/C=C/c2ccccc2)c(=S)n1Cc1ccccc1 ZINC000049112464 DYR_BOVIN DHFR 5 50832 None 20350811 None CHEMBL1156232
C=CCN(CC=C)c1ccc2nc(SC)n(Cc3ccccc3)c(=O)c2c1 ZINC000049113149 DYR_BOVIN DHFR 5.52 50832 None 20350811 None CHEMBL1156232
CCSc1nc2ccc([N+](=O)[O-])cc2c(=O)n1Cc1ccccc1 ZINC000049115853 DYR_BOVIN DHFR 5 50832 None 20350811 None CHEMBL1156232
C=CC(=O)Nc1ccc2nc(SC/C=C/c3ccccc3)n(Cc3ccccc3)c(=O)c2c1 ZINC000049124583 DYR_BOVIN DHFR 6 50832 None 20350811 None CHEMBL1156232
CSc1nc2ccc(NC/C=C/c3ccccc3)cc2c(=O)n1Cc1ccccc1 ZINC000049125937 DYR_BOVIN DHFR 6.3 50832 None 20350811 None CHEMBL1156232
O=c1c2cc([N+](=O)[O-])ccc2nc(SCCC(O)O)n1Cc1ccccc1 ZINC000049126018 DYR_BOVIN DHFR 5 50832 None 20350811 None CHEMBL1156232
C=CCn1c(SSc2nc(=O)c3cc([N+](=O)[O-])ccc3n2CC=C)nc(=O)c2cc([N+](=O)[O-])ccc21 ZINC000049781336 DYR_BOVIN DHFR 5 50832 None 20350811 None CHEMBL1156232
C=CCSc1nc2ccc(N(C/C=C/c3ccccc3)C/C=C/c3ccccc3)cc2c(=O)n1Cc1ccccc1 ZINC000049781360 DYR_BOVIN DHFR 6.3 50832 None 20350811 None CHEMBL1156232
O=C(/C=C/c1ccccc1)Nc1ccc2nc(SC/C=C/c3ccccc3)n(Cc3ccccc3)c(=O)c2c1 ZINC000049781419 DYR_BOVIN DHFR 6.05 50832 None 20350811 None CHEMBL1156232
COc1ccc(OCCCON2C(N)=NC(N)=NC23CCCC3)cc1 ZINC000072104799 DYR_BOVIN DHFR 7.95 58277 None 20036565 None CHEMBL1799979
CC(C)(C)c1ccc(OCCCON2C(N)=NC(N)=NC23CCCCC3)cc1 ZINC000072105028 DYR_BOVIN DHFR 7.67 58277 None 20036565 None CHEMBL1799979
NC1=NC2(CCCC2)N(OCCCOc2ccc(F)cc2)C(N)=N1 ZINC000072105029 DYR_BOVIN DHFR 8 58277 None 20036565 None CHEMBL1799979
NC1=NC2(CCCCC2)N(OCCCOc2ccc(Cl)cc2)C(N)=N1 ZINC000072105030 DYR_BOVIN DHFR 7.86 58277 None 20036565 None CHEMBL1799979
N#Cc1ccc(OCCCON2C(N)=NC(N)=NC23CCCC3)cc1 ZINC000072105044 DYR_BOVIN DHFR 8.12 58277 None 20036565 None CHEMBL1799979
NC1=NC2(CCCC2)N(OCCCOc2ccccc2)C(N)=N1 ZINC000072105077 DYR_BOVIN DHFR 8.64 58277 None 20036565 None CHEMBL1799979
NC1=NC2(CCCC2)N(OCCCOc2ccc([N+](=O)[O-])cc2)C(N)=N1 ZINC000072105102 DYR_BOVIN DHFR 8.08 58277 None 20036565 None CHEMBL1799979
N#Cc1ccc(OCCCON2C(N)=NC(N)=NC23CCCCC3)cc1 ZINC000072105223 DYR_BOVIN DHFR 8.01 58277 None 20036565 None CHEMBL1799979
COc1ccc(OCCCON2C(N)=NC(N)=NC23CCCCC3)cc1 ZINC000072105226 DYR_BOVIN DHFR 8.21 58277 None 20036565 None CHEMBL1799979
CC(=O)c1ccc(OCCCON2C(N)=NC(N)=NC23CCCCC3)cc1 ZINC000072105270 DYR_BOVIN DHFR 7.88 58277 None 20036565 None CHEMBL1799979
NC1=NC2(CCCC2)N(OCCCOc2ccc(Cl)cc2)C(N)=N1 ZINC000072105900 DYR_BOVIN DHFR 8.14 58277 None 20036565 None CHEMBL1799979
CC(=O)c1ccc(OCCCON2C(N)=NC(N)=NC23CCCC3)cc1 ZINC000072106318 DYR_BOVIN DHFR 8.04 58277 None 20036565 None CHEMBL1799979
CC(C)(C)c1ccc(OCCCON2C(N)=NC(N)=NC23CCCC3)cc1 ZINC000072106319 DYR_BOVIN DHFR 7.77 58277 None 20036565 None CHEMBL1799979
NC1=NC2(CCCCC2)N(OCCCOc2ccc(F)cc2)C(N)=N1 ZINC000072106320 DYR_BOVIN DHFR 7.81 58277 None 20036565 None CHEMBL1799979
NC1=NC2(CCCCC2)N(OCCCOc2ccc(S(N)(=O)=O)cc2)C(N)=N1 ZINC000072106499 DYR_BOVIN DHFR 8.25 58277 None 20036565 None CHEMBL1799979
NC1=NC2(CCCCC2)N(OCCCOc2ccc([N+](=O)[O-])cc2)C(N)=N1 ZINC000072106628 DYR_BOVIN DHFR 7.83 58277 None 20036565 None CHEMBL1799979
Cc1ccc(OCCCON2C(N)=NC(N)=NC23CCCCC3)cc1 ZINC000072106798 DYR_BOVIN DHFR 7.76 58277 None 20036565 None CHEMBL1799979
Cc1ccc(OCCCON2C(N)=NC(N)=NC23CCCC3)cc1 ZINC000072109800 DYR_BOVIN DHFR 8.02 58277 None 20036565 None CHEMBL1799979
NC1=NC2(CCCCC2)N(OCCCOc2ccccc2)C(N)=N1 ZINC000072111041 DYR_BOVIN DHFR 8.16 58277 None 20036565 None CHEMBL1799979
O=C(O)c1cccnc1Sc1nc2ccc(Cl)cc2c(=O)n1Cc1ccccc1 ZINC000096258048 DYR_BOVIN DHFR 5 73405 None 23454532 None CHEMBL2375290
O=C(O)c1cccnc1Sc1nc2ccc(Cl)cc2c(=O)n1-c1ccccc1 ZINC000096258049 DYR_BOVIN DHFR 5.1 73405 None 23454532 None CHEMBL2375290
Cc1ccc2nc(Sc3ncccc3C(=O)O)n(Cc3ccccc3)c(=O)c2c1 ZINC000096258050 DYR_BOVIN DHFR 5 73405 None 23454532 None CHEMBL2375290
Cc1ccc2nc(Sc3ncccc3C(=O)O)n(-c3ccccc3)c(=O)c2c1 ZINC000096258051 DYR_BOVIN DHFR 5.1 73405 None 23454532 None CHEMBL2375290
COc1cc2nc(Sc3cnc(N)s3)n(Cc3ccccc3)c(=O)c2cc1OC ZINC000096258052 DYR_BOVIN DHFR 5.52 73405 None 23454532 None CHEMBL2375290
COc1cc2nc(Sc3cnc(N)s3)n(-c3ccccc3)c(=O)c2cc1OC ZINC000096258053 DYR_BOVIN DHFR 6.3 73405 None 23454532 None CHEMBL2375290
COc1cc2nc(Sc3cnc(N)s3)n(-c3ccccc3)c(=O)c2cc1OC ZINC000096258053 DYR_BOVIN DHFR 6.3 90791 None 25139568 None CHEMBL3352542
Nc1ncc(Sc2nc3ccc(Cl)cc3c(=O)n2Cc2ccccc2)s1 ZINC000096258054 DYR_BOVIN DHFR 5.7 73405 None 23454532 None CHEMBL2375290
Nc1ncc(Sc2nc3ccc(Cl)cc3c(=O)n2-c2ccccc2)s1 ZINC000096258055 DYR_BOVIN DHFR 5.4 73405 None 23454532 None CHEMBL2375290
Cc1ccc2nc(Sc3cnc(N)s3)n(Cc3ccccc3)c(=O)c2c1 ZINC000096258056 DYR_BOVIN DHFR 6 73405 None 23454532 None CHEMBL2375290
Cc1ccc2nc(Sc3cnc(N)s3)n(-c3ccccc3)c(=O)c2c1 ZINC000096258057 DYR_BOVIN DHFR 6.1 73405 None 23454532 None CHEMBL2375290
Cc1ccc2nc(Sc3cnc(N)s3)n(-c3ccccc3)c(=O)c2c1 ZINC000096258057 DYR_BOVIN DHFR 6.1 90791 None 25139568 None CHEMBL3352542
CCOC(=O)c1nc(N)sc1Sc1nc2cc(OC)c(OC)cc2c(=O)n1Cc1ccccc1 ZINC000096258058 DYR_BOVIN DHFR 5.7 73405 None 23454532 None CHEMBL2375290
CCOC(=O)c1nc(N)sc1Sc1nc2cc(OC)c(OC)cc2c(=O)n1-c1ccccc1 ZINC000096258059 DYR_BOVIN DHFR 6.52 73405 None 23454532 None CHEMBL2375290
CCOC(=O)c1nc(N)sc1Sc1nc2cc(OC)c(OC)cc2c(=O)n1-c1ccccc1 ZINC000096258059 DYR_BOVIN DHFR 6.52 90791 None 25139568 None CHEMBL3352542
CCOC(=O)c1nc(N)sc1Sc1nc2ccc(Cl)cc2c(=O)n1Cc1ccccc1 ZINC000096258060 DYR_BOVIN DHFR 6 73405 None 23454532 None CHEMBL2375290
CCOC(=O)c1nc(N)sc1Sc1nc2ccc(Cl)cc2c(=O)n1-c1ccccc1 ZINC000096258061 DYR_BOVIN DHFR 5.52 73405 None 23454532 None CHEMBL2375290
CCOC(=O)c1nc(N)sc1Sc1nc2ccc(C)cc2c(=O)n1Cc1ccccc1 ZINC000096258062 DYR_BOVIN DHFR 5.4 73405 None 23454532 None CHEMBL2375290
CCOC(=O)c1nc(N)sc1Sc1nc2ccc(C)cc2c(=O)n1-c1ccccc1 ZINC000096258063 DYR_BOVIN DHFR 6 73405 None 23454532 None CHEMBL2375290
COc1cc2nc(Sc3ncccc3C(=O)O)n(Cc3ccccc3)c(=O)c2cc1OC ZINC000096258064 DYR_BOVIN DHFR 5.3 73405 None 23454532 None CHEMBL2375290
COc1cc2nc(Sc3ncccc3C(=O)O)n(-c3ccccc3)c(=O)c2cc1OC ZINC000096258065 DYR_BOVIN DHFR 5.15 73405 None 23454532 None CHEMBL2375290
COc1cc2nc(Sc3cc([N+](=O)[O-])ccc3C(=O)O)n(Cc3ccccc3)c(=O)c2cc1OC ZINC000096258066 DYR_BOVIN DHFR 5.52 73405 None 23454532 None CHEMBL2375290
COc1cc2nc(Sc3cc([N+](=O)[O-])ccc3C(=O)O)n(-c3ccccc3)c(=O)c2cc1OC ZINC000096258067 DYR_BOVIN DHFR 5 73405 None 23454532 None CHEMBL2375290
O=C(O)c1ccc([N+](=O)[O-])cc1Sc1nc2ccc(Cl)cc2c(=O)n1Cc1ccccc1 ZINC000096258068 DYR_BOVIN DHFR 5.1 73405 None 23454532 None CHEMBL2375290
O=C(O)c1ccc([N+](=O)[O-])cc1Sc1nc2ccc(Cl)cc2c(=O)n1-c1ccccc1 ZINC000096258069 DYR_BOVIN DHFR 5 73405 None 23454532 None CHEMBL2375290
Cc1ccc2nc(Sc3cc([N+](=O)[O-])ccc3C(=O)O)n(-c3ccccc3)c(=O)c2c1 ZINC000096258072 DYR_BOVIN DHFR 5 73405 None 23454532 None CHEMBL2375290
Cc1ccc(-n2c(S)nnc2-c2csc(NC(=S)Nc3ccccc3)n2)cc1 ZINC000096282321 DYR_BOVIN DHFR 5 74487 None 23792351 None CHEMBL2413018
CC(=O)N(C(C)=O)c1nc(-c2nnc(S)n2-c2ccc(Cl)cc2)cs1 ZINC000096282322 DYR_BOVIN DHFR 5 74487 None 23792351 None CHEMBL2413018
COc1ccc(-n2c(S)nnc2-c2csc(N(C(C)=O)C(C)=O)n2)c(OC)c1 ZINC000096282323 DYR_BOVIN DHFR 5.1 74487 None 23792351 None CHEMBL2413018
