DrugBank ID,Name,Drug Type
DB00006,Bivalirudin,SmallMoleculeDrug
DB00007,Leuprolide,SmallMoleculeDrug
DB00014,Goserelin,SmallMoleculeDrug
DB00027,Gramicidin D,SmallMoleculeDrug
DB00035,Desmopressin,SmallMoleculeDrug
DB00050,Cetrorelix,SmallMoleculeDrug
DB00067,Vasopressin,SmallMoleculeDrug
DB00080,Daptomycin,SmallMoleculeDrug
DB00091,Cyclosporine,SmallMoleculeDrug
DB00093,Felypressin,SmallMoleculeDrug
DB00104,Octreotide,SmallMoleculeDrug
DB00106,Abarelix,SmallMoleculeDrug
DB00114,Pyridoxal phosphate,SmallMoleculeDrug
DB00115,Cyanocobalamin,SmallMoleculeDrug
DB00116,Tetrahydrofolic acid,SmallMoleculeDrug
DB00117,Histidine,SmallMoleculeDrug
DB00118,Ademetionine,SmallMoleculeDrug
DB00119,Pyruvic acid,SmallMoleculeDrug
DB00120,Phenylalanine,SmallMoleculeDrug
DB00121,Biotin,SmallMoleculeDrug
DB00122,Choline,SmallMoleculeDrug
DB00123,Lysine,SmallMoleculeDrug
DB00125,Arginine,SmallMoleculeDrug
DB00126,Ascorbic acid,SmallMoleculeDrug
DB00127,Spermine,SmallMoleculeDrug
DB00128,Aspartic acid,SmallMoleculeDrug
DB00129,Ornithine,SmallMoleculeDrug
DB00130,L-Glutamine,SmallMoleculeDrug
DB00131,Adenosine phosphate,SmallMoleculeDrug
DB00132,alpha-Linolenic acid,SmallMoleculeDrug
DB00133,Serine,SmallMoleculeDrug
DB00134,Methionine,SmallMoleculeDrug
DB00135,Tyrosine,SmallMoleculeDrug
DB00136,Calcitriol,SmallMoleculeDrug
DB00137,Lutein,SmallMoleculeDrug
DB00138,Cystine,SmallMoleculeDrug
DB00139,Succinic acid,SmallMoleculeDrug
DB00140,Riboflavin,SmallMoleculeDrug
DB00141,N-Acetylglucosamine,SmallMoleculeDrug
DB00142,Glutamic acid,SmallMoleculeDrug
DB00143,Glutathione,SmallMoleculeDrug
DB00144,Phosphatidyl serine,SmallMoleculeDrug
DB00145,Glycine,SmallMoleculeDrug
DB00146,Calcifediol,SmallMoleculeDrug
DB00147,Pyridoxal,SmallMoleculeDrug
DB00148,Creatine,SmallMoleculeDrug
DB00149,Leucine,SmallMoleculeDrug
DB00150,Tryptophan,SmallMoleculeDrug
DB00151,Cysteine,SmallMoleculeDrug
DB00152,Thiamine,SmallMoleculeDrug
DB00153,Ergocalciferol,SmallMoleculeDrug
DB00154,Dihomo-gamma-linolenic acid,SmallMoleculeDrug
DB00155,Citrulline,SmallMoleculeDrug
DB00156,Threonine,SmallMoleculeDrug
DB00157,NADH,SmallMoleculeDrug
DB00158,Folic acid,SmallMoleculeDrug
DB00159,Icosapent,SmallMoleculeDrug
DB00160,Alanine,SmallMoleculeDrug
DB00161,Valine,SmallMoleculeDrug
DB00162,Vitamin A,SmallMoleculeDrug
DB00163,Vitamin E,SmallMoleculeDrug
DB00165,Pyridoxine,SmallMoleculeDrug
DB00166,Lipoic acid,SmallMoleculeDrug
DB00167,Isoleucine,SmallMoleculeDrug
DB00168,Aspartame,SmallMoleculeDrug
DB00169,Cholecalciferol,SmallMoleculeDrug
DB00170,Menadione,SmallMoleculeDrug
DB00171,ATP,SmallMoleculeDrug
DB00172,Proline,SmallMoleculeDrug
DB00173,Adenine,SmallMoleculeDrug
DB00174,Asparagine,SmallMoleculeDrug
DB00175,Pravastatin,SmallMoleculeDrug
DB00176,Fluvoxamine,SmallMoleculeDrug
DB00177,Valsartan,SmallMoleculeDrug
DB00178,Ramipril,SmallMoleculeDrug
DB00179,Masoprocol,SmallMoleculeDrug
DB00180,Flunisolide,SmallMoleculeDrug
DB00181,Baclofen,SmallMoleculeDrug
DB00182,Amphetamine,SmallMoleculeDrug
DB00183,Pentagastrin,SmallMoleculeDrug
DB00184,Nicotine,SmallMoleculeDrug
DB00185,Cevimeline,SmallMoleculeDrug
DB00186,Lorazepam,SmallMoleculeDrug
DB00187,Esmolol,SmallMoleculeDrug
DB00188,Bortezomib,SmallMoleculeDrug
DB00189,Ethchlorvynol,SmallMoleculeDrug
DB00190,Carbidopa,SmallMoleculeDrug
DB00191,Phentermine,SmallMoleculeDrug
DB00192,Indecainide,SmallMoleculeDrug
DB00193,Tramadol,SmallMoleculeDrug
DB00194,Vidarabine,SmallMoleculeDrug
DB00195,Betaxolol,SmallMoleculeDrug
DB00196,Fluconazole,SmallMoleculeDrug
DB00197,Troglitazone,SmallMoleculeDrug
DB00198,Oseltamivir,SmallMoleculeDrug
DB00199,Erythromycin,SmallMoleculeDrug
DB00200,Hydroxocobalamin,SmallMoleculeDrug
DB00201,Caffeine,SmallMoleculeDrug
DB00202,Succinylcholine,SmallMoleculeDrug
DB00203,Sildenafil,SmallMoleculeDrug
DB00204,Dofetilide,SmallMoleculeDrug
DB00205,Pyrimethamine,SmallMoleculeDrug
DB00206,Reserpine,SmallMoleculeDrug
DB00207,Azithromycin,SmallMoleculeDrug
DB00208,Ticlopidine,SmallMoleculeDrug
DB00209,Trospium,SmallMoleculeDrug
DB00210,Adapalene,SmallMoleculeDrug
DB00211,Midodrine,SmallMoleculeDrug
DB00212,Remikiren,SmallMoleculeDrug
DB00213,Pantoprazole,SmallMoleculeDrug
DB00214,Torasemide,SmallMoleculeDrug
DB00215,Citalopram,SmallMoleculeDrug
DB00216,Eletriptan,SmallMoleculeDrug
DB00217,Bethanidine,SmallMoleculeDrug
DB00218,Moxifloxacin,SmallMoleculeDrug
DB00219,Oxyphenonium,SmallMoleculeDrug
DB00220,Nelfinavir,SmallMoleculeDrug
DB00221,Isoetharine,SmallMoleculeDrug
DB00222,Glimepiride,SmallMoleculeDrug
DB00223,Diflorasone,SmallMoleculeDrug
DB00224,Indinavir,SmallMoleculeDrug
DB00225,Gadodiamide,SmallMoleculeDrug
DB00226,Guanadrel,SmallMoleculeDrug
DB00227,Lovastatin,SmallMoleculeDrug
DB00228,Enflurane,SmallMoleculeDrug
DB00229,Cefotiam,SmallMoleculeDrug
DB00230,Pregabalin,SmallMoleculeDrug
DB00231,Temazepam,SmallMoleculeDrug
DB00232,Methyclothiazide,SmallMoleculeDrug
DB00233,Aminosalicylic acid,SmallMoleculeDrug
DB00234,Reboxetine,SmallMoleculeDrug
DB00235,Milrinone,SmallMoleculeDrug
DB00236,Pipobroman,SmallMoleculeDrug
DB00237,Butabarbital,SmallMoleculeDrug
DB00238,Nevirapine,SmallMoleculeDrug
DB00239,Oxiconazole,SmallMoleculeDrug
DB00240,Alclometasone,SmallMoleculeDrug
DB00241,Butalbital,SmallMoleculeDrug
DB00242,Cladribine,SmallMoleculeDrug
DB00243,Ranolazine,SmallMoleculeDrug
