zinc_id,ortholog_name,gene_name,affinity,chembldocid,title,reference.pubmed_id,reference.doi,reference.chembl_id,reference.journal,reference.year
ZINC000000001233,DRTS_PLAFK,DRTS_PLAFK,8.96,21047,None,15293997,None,CHEMBL1138679,J. Med. Chem.,2004
ZINC000000001233,DRTS_PLAFK,DRTS_PLAFK,8.82,15522,None,10893311,None,CHEMBL1133696,J. Med. Chem.,2000
ZINC000000001233,DRTS_PLAFK,DRTS_PLAFK,8.82,17662,None,14736247,None,CHEMBL1138835,J. Med. Chem.,2004
ZINC000000001233,DRTS_PLAFK,DRTS_PLAFK,8.80,17071,None,12825927,None,CHEMBL1145823,J. Med. Chem.,2003
ZINC000000001233,DRTS_PLAFK,DRTS_PLAFK,5.94,17071,None,12825927,None,CHEMBL1145823,J. Med. Chem.,2003
ZINC000000001233,DRTS_PLAFK,DRTS_PLAFK,5.88,15522,None,10893311,None,CHEMBL1133696,J. Med. Chem.,2000
ZINC000000001233,DRTS_PLAFK,DRTS_PLAFK,5.88,17662,None,14736247,None,CHEMBL1138835,J. Med. Chem.,2004
ZINC000000001233,DRTS_PLAFK,DRTS_PLAFK,8.59,14888,None,9554869,None,CHEMBL1131602,J. Med. Chem.,1998
ZINC000000001233,DRTS_PLAFK,DRTS_PLAFK,8.59,17071,None,12825927,None,CHEMBL1145823,J. Med. Chem.,2003
ZINC000000001233,DRTS_PLAFK,DRTS_PLAFK,5.67,17071,None,12825927,None,CHEMBL1145823,J. Med. Chem.,2003
ZINC000000001233,DRTS_PLAFK,DRTS_PLAFK,5.62,17662,None,14736247,None,CHEMBL1138835,J. Med. Chem.,2004
ZINC000000001233,DRTS_PLAFK,DRTS_PLAFK,6.55,17662,None,14736247,None,CHEMBL1138835,J. Med. Chem.,2004
ZINC000000001233,DRTS_PLAFK,DRTS_PLAFK,7.50,17662,None,14736247,None,CHEMBL1138835,J. Med. Chem.,2004
ZINC000000001233,DRTS_PLAFK,DRTS_PLAFK,5.43,17662,None,14736247,None,CHEMBL1138835,J. Med. Chem.,2004
ZINC000000001233,DRTS_PLAFK,DRTS_PLAFK,7.40,17662,None,14736247,None,CHEMBL1138835,J. Med. Chem.,2004
ZINC000000001233,DRTS_PLAFK,DRTS_PLAFK,6.38,17662,None,14736247,None,CHEMBL1138835,J. Med. Chem.,2004
ZINC000000001233,DRTS_PLAFK,DRTS_PLAFK,6.24,17071,None,12825927,None,CHEMBL1145823,J. Med. Chem.,2003
ZINC000000001233,DRTS_PLAFK,DRTS_PLAFK,5.24,17662,None,14736247,None,CHEMBL1138835,J. Med. Chem.,2004
ZINC000000001233,DRTS_PLAFK,DRTS_PLAFK,6.14,17071,None,12825927,None,CHEMBL1145823,J. Med. Chem.,2003
ZINC000000001233,DRTS_PLAFK,DRTS_PLAFK,7.09,14888,None,9554869,None,CHEMBL1131602,J. Med. Chem.,1998
ZINC000000001409,DRTS_PLAFK,DRTS_PLAFK,9.10,21047,None,15293997,None,CHEMBL1138679,J. Med. Chem.,2004
ZINC000000001409,DRTS_PLAFK,DRTS_PLAFK,9.00,16871,None,11881993,None,CHEMBL1135602,J. Med. Chem.,2002
ZINC000000001409,DRTS_PLAFK,DRTS_PLAFK,9.00,17662,None,14736247,None,CHEMBL1138835,J. Med. Chem.,2004
