molecule_chembl_id,smiles,pKi_mean_value,mean_Ki_value,target_organism
CHEMBL1161155,CCS(=O)(=O)O.Cc1nc(N)nc(N)c1NC(=O)C12CC3CC(CC(C3)C1)C2,8.045757490560675,9.0,Homo sapiens
CHEMBL149218,Cc1c(CNc2ccc(C(=O)NC(CCCNC(=O)c3ccccc3C(=O)O)C(=O)O)cc2)ccc2nc(N)nc(N)c12,13.0,0.0001,Homo sapiens
CHEMBL146917,Nc1nc(N)c2c(Cl)c(CNc3ccc(C(=O)NC(CCCNC(=O)c4ccccc4C(=O)O)C(=O)O)cc3)ccc2n1,12.958607314841775,0.00011,Homo sapiens
CHEMBL149164,Nc1nc(N)c2nc(CNc3ccc(C(=O)NC(CCCNC(=O)c4ccccc4C(=O)O)C(=O)O)cc3)ccc2n1,12.721246399047171,0.00019,Homo sapiens
CHEMBL167304,C[C@](CCC(=O)O)(NC(=O)c1ccc(CCC2CNc3nc(N)nc(N)c3C2)o1)C(=O)O,8.005682847330363,9.87,Homo sapiens
CHEMBL354249,C[C@](CCC(=O)O)(NC(=O)c1ccc(CCC2CNc3nc(N)nc(N)c3C2)cc1)C(=O)O,9.537602002101044,0.29,Homo sapiens
CHEMBL168069,C[C@](CCC(=O)O)(NC(=O)c1ccc(CCC2CNc3nc(N)nc(N)c3C2)s1)C(=O)O,9.161150909262744,0.69,Homo sapiens
CHEMBL150607,Cc1c(CNc2ccc(C(=O)NC(CCCNC(=O)c3ccccc3C(=O)O)C(=O)O)cc2)cnc2nc(N)nc(N)c12,12.397940008672037,0.0004,Homo sapiens
CHEMBL34259,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1,11.284832642151542,0.00519,Homo sapiens
CHEMBL18155,Nc1nc(N)c2nc(CNc3ccc(C(=O)NC(CCCNC(=O)c4ccccc4C(=O)O)C(=O)O)cc3)cnc2n1,12.455931955649724,0.00035,Homo sapiens
CHEMBL297088,Nc1nc(N)c2cc(CNc3ccc(C(=O)NC(CCCNC(=O)c4ccccc4C(=O)O)C(=O)O)cc3)ccc2n1,13.045757490560675,9e-05,Homo sapiens
CHEMBL376180,Nc1nc(N)c2nc(CNc3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc3)cnc2n1,11.431798275933005,0.0037,Homo sapiens
CHEMBL422095,Cc1nc(N)nc(N)c1-c1cccc2ccccc12,4.251811972993799,56000.0,Homo sapiens
CHEMBL149962,Nc1nc(N)c2cc(CNc3ccc(C(=O)NC(CCCNC(=O)c4ccccc4C(=O)O)C(=O)O)cc3)cnc2n1,12.387216143280265,0.00041,Homo sapiens
CHEMBL305177,Nc1nc(N)c2cc(CNc3ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc3)ccc2n1,12.050609993355087,0.00089,Homo sapiens
CHEMBL36,CCc1nc(N)nc(N)c1-c1ccc(Cl)cc1,6.6020599913279625,250.0,Homo sapiens
CHEMBL334695,CCCCCCCCCCOc1cccc(Cc2cnc(N)nc2N)c1,6.1249387366083,750.0,Homo sapiens
CHEMBL441298,COc1cc(CCc2cccc3nc(N)nc(N)c23)cc(OC)c1OC,7.142667503568731,72.0,Homo sapiens
