,zinc_id,smiles,first_affinity,last_affinity,mean_affinity,chembldocid,reference.pubmed_id,reference.chembl_id
0,ZINC000000000640,COc1ccc(OC)c(Cc2cnc3nc(N)nc(N)c3c2C)c1,10.6,7.42,8.544,13799,8632413,CHEMBL1129493
1,ZINC000000001233,CC1(C)N=C(N)N=C(N)N1c1ccc(Cl)cc1,7.25,7.25,7.25,53022,20350951,CHEMBL1255487
2,ZINC000000005734,CCC(CC)n1c(C)cc2c3c(N)nc(N)nc3ccc21,9.52,9.52,9.52,13799,8632413,CHEMBL1129493
3,ZINC000000006585,COc1ccc(OC)c(CN(C)c2cnc3nc(N)nc(N)c3c2)c1,5.07,5.07,5.07,13858,8691474,CHEMBL1129539
4,ZINC000000007486,COc1ccc(C)c(NCc2cnc3nc(N)nc(N)c3c2C)c1,6.82,6.82,6.82,16403,11754578,CHEMBL1135401
5,ZINC000000007637,Cc1c(CNc2ccccc2Cl)cnc2nc(N)nc(N)c12,6.92,6.92,6.92,16403,11754578,CHEMBL1135401
6,ZINC000000015885,CCC(CC)n1ccc2c3c(N)nc(N)nc3ccc21,8.35,8.18,8.265,13799,8632413,CHEMBL1129493
7,ZINC000000024946,COc1ccc(Cc2cnc(N)nc2N)cc1OC,6.28,6.28,6.28,9190,3312605,CHEMBL1123638
8,ZINC000000057464,CCc1nc(N)nc(N)c1-c1ccc(Cl)cc1,7.96,7.01,6.6530000000000005,15190,10543874,CHEMBL1132445
9,ZINC000000172633,Cc1ccc(Sc2cccc3nc(N)nc(N)c23)cc1,6.03,6.03,6.03,13052,7658448,CHEMBL1128547
10,ZINC000000172636,Nc1nc(N)c2c(Sc3ccc(Cl)cc3)cccc2n1,6.92,5.68,6.3,90243,24913411,CHEMBL3351755
11,ZINC000000289771,CCOc1ccc(Cc2cnc(N)nc2N)cc1,6.89,8.01,6.699999999999999,15190,10543874,CHEMBL1132445
12,ZINC000000538490,CN(C)C(=O)c1cccc(COc2ccc(N3C(N)=NC(N)=NC3(C)C)cc2Cl)c1,7.11,7.11,7.11,13279,7699713,CHEMBL1128273
13,ZINC000000598590,CCOc1cc(Cc2cnc(N)nc2N)cc(OCC)c1-n1cccc1,6.7,7.23,6.965,17520,15115391,CHEMBL1149188
14,ZINC000000598852,COc1cc(NCc2ccc3nc(N)nc(N)c3c2C)cc(OC)c1OC,9.0,7.05,8.004999999999999,13052,7658448,CHEMBL1128547
15,ZINC000000974809,CCOC(=O)C1=C(C)NC(=S)N[C@H]1c1ccccc1OC,5.72,5.72,5.72,69872,None,CHEMBL3045961
16,ZINC000000974810,CCOC(=O)C1=C(C)NC(=S)N[C@@H]1c1ccccc1OC,5.72,5.72,5.72,69872,None,CHEMBL3045961
17,ZINC000001486728,COc1cc(Cc2cnc(N)nc2N)c2c(c1OC)O[C@@H](C1CC1)C=C2,6.11,8.1,6.773333333333333,58709,21831637,CHEMBL1817628
18,ZINC000001489187,COc1ccc(C(F)(F)F)cc1NCc1cnc2nc(N)nc(N)c2c1C,8.57,8.57,8.57,16403,11754578,CHEMBL1135401
19,ZINC000001529323,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1,10.42,8.05,8.104754098360656,3129,10360757,CHEMBL1131724
20,ZINC000001540998,Nc1nc2[nH]cc(CCc3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc3)c2c(=O)[nH]1,5.85,8.14,5.75875,17380,12570380,CHEMBL1145967
21,ZINC000001542008,C=C(C[C@H](NC(=O)c1ccc(CCc2cnc3nc(N)nc(N)c3n2)cc1)C(=O)O)C(=O)O,8.06,8.06,8.06,10743,1992121,CHEMBL1125907
22,ZINC000001542012,Nc1ncc(CCCc2ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc2)c(N)n1,9.92,9.92,9.92,1979,None,CHEMBL1152109
23,ZINC000001549190,CCCOc1ccc(OCCC)c(NCc2cnc3nc(N)nc(N)c3c2C)c1,5.14,5.14,5.14,16403,11754578,CHEMBL1135401
24,ZINC000001553987,CCc1nc(N)nc2[nH]cc(CCc3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc3)c12,6.04,6.04,6.04,17380,12570380,CHEMBL1145967
