smiles	nubbe_id
CC1(C)[C@H]2CC[C@@H]3[C@@]4(C)CC[C@H]([C@@H](CCC(=C)C(C)C)C)[C@@]4(C)CC[C@@]43C[C@]24CC[C@@H]1O	NuBBE_1003
CC([C@@H](/C=C/[C@H]([C@H]1CCC2=C3C=CC4=CC(=O)CC[C@]4([C@@H]3CC[C@]12C)C)C)C)C	NuBBE_1004
CC([C@@H](/C=C/[C@H]([C@H]1CC[C@]23[C@@]4(CC(=O)C5=CC(=O)CC[C@@]5([C@H]4CC[C@]12C)C)O3)C)C)C	NuBBE_1005
O=C1c2c(O)cccc2[C@@H](O)[C@@H](C)O1	NuBBE_1006
O=C1c2c(O)ccc(O)c2C[C@@H](C)O1	NuBBE_1007
O=c1c2c(cc(cc2cc(o1)C)O)O	NuBBE_1008
O=c1c2c(O)c(O)c(O)cc2cc(C)o1	NuBBE_1009
C=C[C@@H]1[C@@H](OC=C([C@@H]1CC1=NCCc2c1[nH]c1ccccc21)C(=O)OC)O[C@@H]1O[C@@H]([C@H]([C@H](O)[C@H]1O)O)CO	NuBBE_100
O=C1CC[C@H](O)c2cccc(O)c12	NuBBE_1010
Oc1c2c(cccc2O)ccc1	NuBBE_1011
Oc1c2c([C@@H]([C@H]3[C@@H]([C@@H]2O)O3)O)ccc1	NuBBE_1012
Cc1cc(=O)c2c(cc(cc2o1)O)C	NuBBE_1013
Cc1cc(=O)c2c(cc(c(OC)c2o1)O)C	NuBBE_1014
OCCc1ccc(O)cc1	NuBBE_1015
OC(=O)CCc1c2c(C=CC(C)(O2)C)c(OC)cc1	NuBBE_1016
CC1(C)C=Cc2c(OC)c(OC)cc(CCC(=O)O)c2O1	NuBBE_1017
O[C@H](C(O)(C)C)[C@H]1OC(C)(C)Oc2c1c(ccc2CCC(=O)O)OC	NuBBE_1018
COc1cc2OC(C)(C)C=Cc2c(OC)c1CCC(=O)OC	NuBBE_1019
C=C[C@@H]1[C@H](O[C@H]2[C@H](O)[C@H]([C@@H]([C@H](O2)CO)O)O)OC=C(C(=O)O)[C@@H]1CC1=NCCc2c1[nH]c1ccccc21	NuBBE_101
CC1(Oc2c(C=C1)c(OC)c(c(OC)c2)CCC(=O)O)C	NuBBE_1020
CC1(C)Oc2c(c(OC)c(CCC(=O)OC)cc2OC)C=C1	NuBBE_1021
CC1(C)Oc2c(c(OC)c(CCC(=O)O)cc2OC)C=C1	NuBBE_1022
CC1(C)Oc2c(c(OC)c(CCC(=O)OC)cc2)C=C1	NuBBE_1023
CC1(C)Oc2c(c(OC)c(CCC(=O)O)cc2)C=C1	NuBBE_1024
O[C@H]1CC[C@]2(C)[C@H](CC[C@@]3(C)[C@H]2CC[C@@H]2[C@]3(C)CC[C@@]3(C)C2=CCC3)C1(C)C	NuBBE_1025
O[C@@H]1CC[C@]2(C)[C@H](CC[C@]3(C)[C@H]2C=C[C@@H]2[C@]3(C)CC[C@]3(C)[C@H]2[C@H](C(=C)C)CC3)C1(C)C	NuBBE_1026
O[C@H]1CC[C@]2(C)[C@H](CC[C@@]3(C)[C@H]2C[C@@H](O)[C@@H]2[C@]3(C)CC[C@@]3(C)[C@@H]2[C@H](C(=C)C)CC3)C1(C)C	NuBBE_1027
O[C@H]1CC[C@]2(C)[C@H](CC[C@@]3(C)[C@H]2[C@@H](OCC=C(C)C)[C@@H](O)[C@@H]2[C@]3(C)CC[C@@]3(C)[C@@H]2[C@H](C(=C)C)CC3)C1(C)C	NuBBE_1028
Oc1ccc([C@@H]2[C@H](Cc3c(cc(cc3O2)O)O)O[C@@H]2[C@H]([C@H]([C@@H]([C@H](O2)C)O)OC(=O)/C=C/c2ccccc2)O)cc1	NuBBE_1029
C=C[C@@H]1[C@@H](OC=C([C@@H]1C[C@H]1c2c(CCN1)c1ccccc1[nH]2)C(=O)O)O[C@@H]1O[C@@H]([C@H]([C@H](O)[C@H]1O)O)CO	NuBBE_102
