molecule_chembl_id,smiles,pKi_mean_value,mean_standard_value,pKi_first_value,first_standard_value,standard_units,target_organism
CHEMBL2364573,NC(=O)c1ccc[n+]([C@H]2O[C@@H](COP(=O)([O-])OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@H](O)[C@@H]2O)c1,8.327902142064282,4.7,8.327902142064282,4.7,nM,Plasmodium falciparum K1
CHEMBL324775,CCCCCCCOc1cc(Cc2cnc(N)nc2N)ccc1OC,8.508638306165727,3.1,8.508638306165727,3.1,nM,Plasmodium falciparum K1
CHEMBL416373,CCCCOc1cc(Cc2cnc(N)nc2N)ccc1OCc1cc(OC)c(OC)c(OC)c1,9.397940008672037,0.4,9.397940008672037,0.4,nM,Plasmodium falciparum K1
CHEMBL291931,COc1ccc(Cc2cnc(N)nc2N)cc1OCc1ccccc1,8.142667503568731,7.2,8.142667503568731,7.2,nM,Plasmodium falciparum K1
CHEMBL119188,CCOc1cc(Cc2cnc(N)nc2N)ccc1OCCCOc1ccccc1,9.221848749616356,0.6,9.221848749616356,0.6,nM,Plasmodium falciparum K1
CHEMBL747,CC1(C)N=C(N)N=C(N)N1c1ccc(Cl)cc1,6.339049188669717,458.09000000000003,8.585026652029182,2.6,nM,Plasmodium falciparum K1
CHEMBL29773,CCc1nc(N)nc(N)c1-c1cccc(OC)c1,7.732007409634417,18.535,8.97061622231479,1.07,nM,Plasmodium falciparum K1
CHEMBL30937,CCCCCCCOc1ccc(Cc2cnc(N)nc2N)cc1,7.7495799976911055,17.8,7.7495799976911055,17.8,nM,Plasmodium falciparum K1
CHEMBL22138,Nc1ncc(Cc2ccc(OCc3ccccc3)c(OCc3ccccc3)c2)c(N)n1,8.769551078621726,1.7,8.769551078621726,1.7,nM,Plasmodium falciparum K1
CHEMBL56146,Nc1ncc(Cc2ccc(OCc3ccccc3)cc2)c(N)n1,8.187086643357144,6.5,8.187086643357144,6.5,nM,Plasmodium falciparum K1
CHEMBL119086,CCCOc1cc(Cc2c(N)nc(N)nc2CC)ccc1OCc1cc(OC)c(OC)c(OC)c1,8.744727494896694,1.8,8.744727494896694,1.8,nM,Plasmodium falciparum K1
CHEMBL325533,COc1cc(Cc2c(C)nc(N)nc2N)cc(OC)c1OC,7.4179366370882915,38.2,7.4179366370882915,38.2,nM,Plasmodium falciparum K1
CHEMBL326989,CCCOc1ccc(Cc2cnc(N)nc2N)cc1,7.82102305270683,15.1,7.82102305270683,15.1,nM,Plasmodium falciparum K1
CHEMBL22139,CCCOc1cc(Cc2cnc(N)nc2N)ccc1OCc1cc(OC)c(OC)c(OC)c1,9.397940008672037,0.4,9.397940008672037,0.4,nM,Plasmodium falciparum K1
CHEMBL274031,Nc1ncc(Cc2cccc(OCc3ccccc3)c2)c(N)n1,8.200659450546418,6.3,8.200659450546418,6.3,nM,Plasmodium falciparum K1
