molecule_chembl_id,smiles,pKi_mean_value,mean_Ki_value,pKi_first_value,first_Ki_value,pKi_last_value,last_Ki_value,target_organism
CHEMBL2364573,NC(=O)c1ccc[n+]([C@H]2O[C@@H](COP(=O)([O-])OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@H](O)[C@@H]2O)c1,8.098723353771526,7.966666666666666,8.327902142064282,4.7,7.838631997765026,14.5,Plasmodium falciparum K1
CHEMBL324775,CCCCCCCOc1cc(Cc2cnc(N)nc2N)ccc1OC,6.675666091058281,211.025,8.508638306165727,3.1,6.351542405717478,445.1,Plasmodium falciparum K1
CHEMBL416373,CCCCOc1cc(Cc2cnc(N)nc2N)ccc1OCc1cc(OC)c(OC)c(OC)c1,7.267721148097243,53.98571428571429,9.397940008672037,0.4,8.2518119729938,5.6,Plasmodium falciparum K1
CHEMBL291931,COc1ccc(Cc2cnc(N)nc2N)cc1OCc1ccccc1,6.321026624080234,477.5,8.142667503568731,7.2,5.947075316292271,1129.6,Plasmodium falciparum K1
CHEMBL119188,CCOc1cc(Cc2cnc(N)nc2N)ccc1OCCCOc1ccccc1,6.608711951404702,246.20000000000002,9.221848749616356,0.6,6.1134528766088945,770.1,Plasmodium falciparum K1
CHEMBL747,CC1(C)N=C(N)N=C(N)N1c1ccc(Cl)cc1,6.299545078534942,501.71250000000003,8.585026652029182,2.6,8.958607314841775,1.1,Plasmodium falciparum K1
CHEMBL29773,CCc1nc(N)nc(N)c1-c1cccc(OC)c1,7.788679184594107,16.2675,8.97061622231479,1.07,7.443697499232712,36.0,Plasmodium falciparum K1
CHEMBL30937,CCCCCCCOc1ccc(Cc2cnc(N)nc2N)cc1,6.021990768602926,950.625,7.7495799976911055,17.8,5.860120913598763,1380.0,Plasmodium falciparum K1
CHEMBL22138,Nc1ncc(Cc2ccc(OCc3ccccc3)c(OCc3ccccc3)c2)c(N)n1,6.356054087251933,440.5,8.769551078621726,1.7,7.220403508742176,60.2,Plasmodium falciparum K1
CHEMBL56146,Nc1ncc(Cc2ccc(OCc3ccccc3)cc2)c(N)n1,5.843284310195489,1434.55,8.187086643357144,6.5,5.333791002564274,4636.7,Plasmodium falciparum K1
CHEMBL119086,CCCOc1cc(Cc2c(N)nc(N)nc2CC)ccc1OCc1cc(OC)c(OC)c(OC)c1,6.648880390262328,224.45,8.744727494896694,1.8,6.159204101152906,693.1,Plasmodium falciparum K1
CHEMBL325533,COc1cc(Cc2c(C)nc(N)nc2N)cc(OC)c1OC,6.050963916741642,889.275,7.4179366370882915,38.2,5.786668219293407,1634.3,Plasmodium falciparum K1
CHEMBL326989,CCCOc1ccc(Cc2cnc(N)nc2N)cc1,6.1493690787146384,708.9749999999999,7.82102305270683,15.1,5.818728228440539,1518.0,Plasmodium falciparum K1
CHEMBL22139,CCCOc1cc(Cc2cnc(N)nc2N)ccc1OCc1cc(OC)c(OC)c(OC)c1,7.270256844950872,53.67142857142858,9.397940008672037,0.4,8.455931955649724,3.5,Plasmodium falciparum K1
CHEMBL274031,Nc1ncc(Cc2cccc(OCc3ccccc3)c2)c(N)n1,6.564354678192426,272.67499999999995,8.200659450546418,6.3,6.3415116186909835,455.5,Plasmodium falciparum K1
CHEMBL118581,CCCCOc1cc(Cc2cnc(N)nc2N)ccc1OC,6.300661002154397,500.42499999999995,8.602059991327963,2.5,5.985773570610771,1033.3,Plasmodium falciparum K1
CHEMBL119224,Nc1ncc(Cc2cccc(Oc3ccccc3)c2)c(N)n1,6.63846102873072,229.89999999999998,8.275724130399212,5.3,6.173018663088007,671.4,Plasmodium falciparum K1
CHEMBL22137,CCc1nc(N)nc(N)c1Cc1ccc(OCc2ccccc2)c(OCc2ccccc2)c1,6.981715691573469,104.29999999999998,8.431798275933005,3.7,7.003926345514724,99.1,Plasmodium falciparum K1
CHEMBL19023,COc1ccc(Cc2cnc(N)nc2N)cc1,5.205226235568985,6234.1,7.628932137728263,23.5,4.688436846680087,20491.0,Plasmodium falciparum K1
CHEMBL119189,CCCCCOc1ccc(Cc2cnc(N)nc2N)cc1OCC,6.277283832511506,528.1,8.795880017344075,1.6,6.044937930324968,901.7,Plasmodium falciparum K1
CHEMBL118668,Nc1ncc(Cc2ccc(OCCCc3ccccc3)cc2)c(N)n1,6.009861019948719,977.5500000000001,8.229147988357855,5.9,6.0961506619033194,801.4,Plasmodium falciparum K1
CHEMBL278847,CCc1nc(N)nc(N)c1-c1cccc(Cl)c1,8.058488567365597,8.74,9.522878745280337,0.3,7.142667503568731,72.0,Plasmodium falciparum K1
CHEMBL333779,CCOc1cc(Cc2cnc(N)nc2N)ccc1OCCCc1ccccc1,6.642541614354965,227.75,9.0,1.0,6.279592599196891,525.3,Plasmodium falciparum K1
CHEMBL118425,Nc1ncc(Cc2ccc(OCCCOCCCOc3ccccc3)cc2)c(N)n1,6.308189399375062,491.825,8.154901959985743,7.0,5.798876102792621,1589.0,Plasmodium falciparum K1
CHEMBL416376,COc1cc(COc2ccc(Cc3cnc(N)nc3N)cc2)cc(OC)c1OC,7.063558071408315,86.38571428571427,8.886056647693163,1.3,8.2839966563652,5.2,Plasmodium falciparum K1
CHEMBL118652,COc1cc(Cc2cnc(N)nc2N)ccc1OCCCOCCCOc1ccccc1,6.159298100896841,692.9499999999999,8.744727494896694,1.8,5.659218892368828,2191.7,Plasmodium falciparum K1
CHEMBL118602,CCc1nc(N)nc(N)c1Cc1ccc(OCc2ccccc2)c(OC)c1,5.945597633193432,1133.4499999999998,8.455931955649724,3.5,6.1351923709738525,732.5,Plasmodium falciparum K1
CHEMBL118202,CCOc1cc(Cc2cnc(N)nc2N)ccc1OCCCOCCCOc1ccccc1,6.4880164287798845,325.075,8.638272163982407,2.3,6.028075050815809,937.4,Plasmodium falciparum K1
CHEMBL22,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,5.73147885916139,1855.7571428571428,7.987162775294828,10.3,6.616005210558267,242.1,Plasmodium falciparum K1
CHEMBL419055,CCc1nc(N)nc(N)c1Cc1cc(OC)c(OC)c(OC)c1,6.4931230677397025,321.275,8.366531544420413,4.3,6.156393528075489,697.6,Plasmodium falciparum K1
CHEMBL19633,COc1ccc(Cc2cnc(N)nc2N)cc1OC,5.378016660059915,4187.775,7.939302159646388,11.5,4.858299443002609,13858.0,Plasmodium falciparum K1
CHEMBL22327,COc1cc(Cc2cnc(N)nc2N)ccc1OCCCc1ccccc1,6.207448231442838,620.2285714285714,8.744727494896694,1.8,7.354577730650908,44.2,Plasmodium falciparum K1
CHEMBL119568,Nc1ncc(Cc2ccc(OCCCOc3ccccc3)cc2)c(N)n1,6.138465589140962,727.0,8.187086643357144,6.5,5.64569943765464,2261.0,Plasmodium falciparum K1
CHEMBL119669,CCCCCOc1cc(Cc2cnc(N)nc2N)ccc1OC,6.6811543871639385,208.375,8.657577319177793,2.2,6.352421445787545,444.2,Plasmodium falciparum K1
CHEMBL22146,COc1cc(Cc2cnc(N)nc2N)ccc1OCc1ccccc1,6.2997290626435625,501.5,8.657577319177793,2.2,7.2168113089247425,60.7,Plasmodium falciparum K1
CHEMBL22811,COc1cc(Cc2cnc(N)nc2N)ccc1OCc1cc(OC)c(OC)c(OC)c1,7.551956556563326,28.057142857142857,9.221848749616356,0.6,8.060480747381382,8.7,Plasmodium falciparum K1
CHEMBL22901,CCOc1cc(Cc2cnc(N)nc2N)ccc1OCc1cc(OC)c(OC)c(OC)c1,7.666696698480502,21.542857142857144,9.522878745280337,0.3,8.657577319177793,2.2,Plasmodium falciparum K1
CHEMBL120123,COc1cc(Cc2c(C)nc(N)nc2N)ccc1OCc1ccccc1,7.19962664510865,63.150000000000006,8.468521082957745,3.4,7.029653123769907,93.4,Plasmodium falciparum K1
