,zinc_id,smiles,first_affinity,mean_affinity,chembldocid,reference.pubmed_id,reference.chembl_id,reference.year
0,ZINC000000001233,CC1(C)N=C(N)N=C(N)N1c1ccc(Cl)cc1,8.96,6.976999999999999,21047,15293997,CHEMBL1138679,2004
1,ZINC000000001409,CCc1nc(N)nc(N)c1-c1ccc(Cl)c(Cl)c1,9.1,8.27875,21047,15293997,CHEMBL1138679,2004
2,ZINC000000010466,COc1cc(Cc2cnc(N)nc2N)ccc1OCc1ccccc1,5.86,6.878181818181818,17636,14711307,CHEMBL1148379,2004
3,ZINC000000024946,COc1ccc(Cc2cnc(N)nc2N)cc1OC,7.94,6.716666666666666,17636,14711307,CHEMBL1148379,2004
4,ZINC000000040057,Nc1ncc(-c2ccccc2)c(N)n1,7.0,7.1475,21047,15293997,CHEMBL1138679,2004
5,ZINC000000057464,CCc1nc(N)nc(N)c1-c1ccc(Cl)cc1,9.72,7.912000000000001,11357,1495020,CHEMBL1125508,1992
6,ZINC000000128065,N/N=C(\S)Nc1ccc(OCc2ccccc2)cc1,5.7,5.49,21047,15293997,CHEMBL1138679,2004
7,ZINC000000146421,CC1(C)N=C(N)N=C(N)N1c1ccc(Br)cc1,8.96,7.863333333333333,15522,10893311,CHEMBL1133696,2000
8,ZINC000000380804,COc1ccc(Cc2cnc(N)nc2N)cc1,7.63,6.453333333333333,17636,14711307,CHEMBL1148379,2004
9,ZINC000001666573,CC1(C)N=C(N)N=C(N)N1c1ccc(Cl)c(Cl)c1,8.96,8.266666666666667,15522,10893311,CHEMBL1133696,2000
10,ZINC000001666576,CC1(C)N=C(N)N=C(N)N1c1cccc(Cl)c1,5.89,7.207692307692308,17662,14736247,CHEMBL1138835,2004
11,ZINC000001722911,CC[C@@H]1N=C(N)N=C(N)N1c1ccc(Cl)cc1,6.72,7.58,15522,10893311,CHEMBL1133696,2000
12,ZINC000001748451,NC1=N[C@@H](c2ccccc2)N(c2ccc(Cl)cc2)C(N)=N1,5.73,7.0528571428571425,17662,14736247,CHEMBL1138835,2004
13,ZINC000001749924,NC1=N[C@@H](c2ccccc2)N(c2cccc(Cl)c2)C(N)=N1,8.0,7.024615384615384,15522,10893311,CHEMBL1133696,2000
14,ZINC000002034275,CC(C)[C@H]1N=C(N)N=C(N)N1c1ccc(Cl)cc1,5.81,6.515,15522,10893311,CHEMBL1133696,2000
15,ZINC000002034277,CC(C)[C@@H]1N=C(N)N=C(N)N1c1ccc(Cl)cc1,5.81,6.515,15522,10893311,CHEMBL1133696,2000
16,ZINC000002034278,C[C@H]1N=C(N)N=C(N)N1c1ccc(Cl)cc1,6.9,6.9799999999999995,15522,10893311,CHEMBL1133696,2000
17,ZINC000002034279,C[C@@H]1N=C(N)N=C(N)N1c1ccc(Cl)cc1,6.9,6.9799999999999995,15522,10893311,CHEMBL1133696,2000
18,ZINC000002571257,NC(=S)N/N=C/c1ccc(Oc2ncc(C(F)(F)F)cc2Cl)cc1,5.64,5.234,17071,12825927,CHEMBL1145823,2003
19,ZINC000003076473,Cc1ccc(N2C(N)=NC(N)=N[C@@H]2c2ccccc2)cc1,6.77,7.4399999999999995,15522,10893311,CHEMBL1133696,2000
20,ZINC000003076474,Cc1ccc(N2C(N)=NC(N)=N[C@H]2c2ccccc2)cc1,6.77,7.4399999999999995,15522,10893311,CHEMBL1133696,2000
21,ZINC000003133773,C=CCNC(=S)NNC(=O)c1cccn(Cc2cccc(Cl)c2)c1=O,5.0,5.72,17071,12825927,CHEMBL1145823,2003
22,ZINC000003157274,CCCOc1ccc(Cc2cnc(N)nc2N)cc1,5.96,6.5675,17636,14711307,CHEMBL1148379,2004
23,ZINC000003581056,CC1(C)N=C(N)N=C(N)N1OCCCOc1cc(Cl)c(Cl)cc1Cl,8.96,8.96,21047,15293997,CHEMBL1138679,2004
24,ZINC000004322438,N/C(=N\O)c1ccc(CNC(=O)c2ccc(Cl)cc2)cc1,5.82,5.82,21047,15293997,CHEMBL1138679,2004
25,ZINC000004394094,N/C(=N\O)c1ccc(Oc2cc(Cl)cc(Cl)c2)c([N+](=O)[O-])c1,5.77,5.445,21047,15293997,CHEMBL1138679,2004
26,ZINC000004394823,N/C(=N/O)c1ccc(Oc2c(Cl)cncc2Cl)cc1,5.21,5.62,17071,12825927,CHEMBL1145823,2003
27,ZINC000004821963,C[C@H]1N=C(N)N=C(N)N1c1ccc(Cl)c(Cl)c1,8.85,8.3,15522,10893311,CHEMBL1133696,2000
28,ZINC000004983774,CC[C@H]1N=C(N)N=C(N)N1c1ccc(Cl)cc1,6.72,7.58,15522,10893311,CHEMBL1133696,2000
29,ZINC000005372203,Cc1cc2nc3n(c2cc1C)C(C)(C)NC(N)=N3,6.74,6.74,21047,15293997,CHEMBL1138679,2004
30,ZINC000005765026,Cc1[nH]c(N)cc2nc3ccccc3c1-2,5.64,5.64,21047,15293997,CHEMBL1138679,2004
31,ZINC000005884512,CCOc1ccc(Cc2cnc(N)nc2N)cc1OC,7.81,6.663333333333334,17636,14711307,CHEMBL1148379,2004
32,ZINC000005888905,COc1cc(Cc2cnc(N)nc2N)ccc1OCCCc1ccccc1,8.74,7.317142857142857,16871,11881993,CHEMBL1135602,2002
33,ZINC000005974507,Nc1ncc(Cc2ccc(OCCCc3ccccc3)cc2)c(N)n1,5.52,6.7725,17636,14711307,CHEMBL1148379,2004
34,ZINC000005974561,Nc1ncc(Cc2ccc(OCc3ccccc3)cc2)c(N)n1,7.0,6.572857142857143,17636,14711307,CHEMBL1148379,2004
35,ZINC000005992377,N=C(NO)c1cccc(CS(=O)(=O)c2ccc(Cl)cc2)c1,6.1,6.1,21047,15293997,CHEMBL1138679,2004
36,ZINC000006118700,NNc1nc2ccccc2nc1NN,5.57,5.4433333333333325,17071,12825927,CHEMBL1145823,2003
37,ZINC000006627681,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,8.0,6.815,31502,16750361,CHEMBL1145311,2006
38,ZINC000013282256,CCc1nc(N)nc(N)c1-c1ccc(Br)cc1,9.52,8.3625,16871,11881993,CHEMBL1135602,2002
39,ZINC000013282257,CCc1nc(N)nc(N)c1-c1ccccc1,7.0,7.753333333333334,21047,15293997,CHEMBL1138679,2004
40,ZINC000013282284,Cc1nc(N)nc(N)c1-c1ccc(Cl)cc1,9.08,7.9025,21047,15293997,CHEMBL1138679,2004
41,ZINC000013284968,Cc1nc(N)nc(N)c1-c1ccccc1,7.96,7.4875,16871,11881993,CHEMBL1135602,2002
42,ZINC000013468996,COC(=O)c1sccc1-c1ccc(/C(C)=N/NC(N)=O)o1,5.38,5.17,17071,12825927,CHEMBL1145823,2003
43,ZINC000013469871,C/C(=N\N=C(/N)S)c1ccc(Oc2c(Cl)cncc2Cl)cc1,6.0,5.967142857142856,17071,12825927,CHEMBL1145823,2003
44,ZINC000013472712,CCc1nc(N)nc(N)c1-c1ccc(C)cc1,9.4,8.16625,16871,11881993,CHEMBL1135602,2002
45,ZINC000013472713,CCc1nc(N)nc(N)c1-c1ccc(C(C)(C)C)cc1,9.22,7.564,16871,11881993,CHEMBL1135602,2002
46,ZINC000013472714,CCc1nc(N)nc(N)c1-c1ccc(-c2ccccc2)cc1,6.73,6.332,16871,11881993,CHEMBL1135602,2002
47,ZINC000013472715,CCc1nc(N)nc(N)c1-c1ccc(OC)cc1,9.05,8.105,16871,11881993,CHEMBL1135602,2002
48,ZINC000013472716,CCc1nc(N)nc(N)c1-c1cccc(Cl)c1,9.52,7.7441176470588236,14888,9554869,CHEMBL1131602,1998
49,ZINC000013472717,CCc1nc(N)nc(N)c1-c1ccc2c(c1)OCO2,8.96,7.73125,16871,11881993,CHEMBL1135602,2002
