zinc_id,gene_name,gene_name,affinity
ZINC000013472722,DRTS_PLAFK,DRTS_PLAFK,9.85
ZINC000000057464,DRTS_PLAFK,DRTS_PLAFK,9.72
ZINC000013282256,DRTS_PLAFK,DRTS_PLAFK,9.52
ZINC000013472716,DRTS_PLAFK,DRTS_PLAFK,9.52
ZINC000013472725,DRTS_PLAFK,DRTS_PLAFK,9.52
ZINC000013472741,DRTS_PLAFK,DRTS_PLAFK,9.52
ZINC000013559310,DRTS_PLAFK,DRTS_PLAFK,9.52
ZINC000013559311,DRTS_PLAFK,DRTS_PLAFK,9.52
ZINC000034801985,DRTS_PLAFK,DRTS_PLAFK,9.52
ZINC000034801986,DRTS_PLAFK,DRTS_PLAFK,9.52
ZINC000013472712,DRTS_PLAFK,DRTS_PLAFK,9.40
ZINC000013472732,DRTS_PLAFK,DRTS_PLAFK,9.40
ZINC000013472742,DRTS_PLAFK,DRTS_PLAFK,9.40
ZINC000013472743,DRTS_PLAFK,DRTS_PLAFK,9.40
ZINC000013559308,DRTS_PLAFK,DRTS_PLAFK,9.40
ZINC000013559309,DRTS_PLAFK,DRTS_PLAFK,9.40
ZINC000013472726,DRTS_PLAFK,DRTS_PLAFK,9.30
ZINC000013472729,DRTS_PLAFK,DRTS_PLAFK,9.30
ZINC000013559312,DRTS_PLAFK,DRTS_PLAFK,9.30
ZINC000013559313,DRTS_PLAFK,DRTS_PLAFK,9.30
ZINC000013559324,DRTS_PLAFK,DRTS_PLAFK,9.30
ZINC000013559325,DRTS_PLAFK,DRTS_PLAFK,9.30
ZINC000013472713,DRTS_PLAFK,DRTS_PLAFK,9.22
ZINC000013472724,DRTS_PLAFK,DRTS_PLAFK,9.22
ZINC000013472740,DRTS_PLAFK,DRTS_PLAFK,9.22
ZINC000013476276,DRTS_PLAFK,DRTS_PLAFK,9.22
ZINC000013476277,DRTS_PLAFK,DRTS_PLAFK,9.22
ZINC000013532899,DRTS_PLAFK,DRTS_PLAFK,9.22
ZINC000013559326,DRTS_PLAFK,DRTS_PLAFK,9.22
ZINC000013559327,DRTS_PLAFK,DRTS_PLAFK,9.22
ZINC000013559328,DRTS_PLAFK,DRTS_PLAFK,9.22
ZINC000013559329,DRTS_PLAFK,DRTS_PLAFK,9.22
ZINC000013472723,DRTS_PLAFK,DRTS_PLAFK,9.15
ZINC000013559295,DRTS_PLAFK,DRTS_PLAFK,9.15
ZINC000013559316,DRTS_PLAFK,DRTS_PLAFK,9.15
ZINC000013559317,DRTS_PLAFK,DRTS_PLAFK,9.15
ZINC000013472721,DRTS_PLAFK,DRTS_PLAFK,9.13
ZINC000000001409,DRTS_PLAFK,DRTS_PLAFK,9.10
ZINC000013472734,DRTS_PLAFK,DRTS_PLAFK,9.10
ZINC000013559296,DRTS_PLAFK,DRTS_PLAFK,9.10
ZINC000013559297,DRTS_PLAFK,DRTS_PLAFK,9.10
ZINC000013282284,DRTS_PLAFK,DRTS_PLAFK,9.08
ZINC000013809204,DRTS_PLAFK,DRTS_PLAFK,9.08
ZINC000013472715,DRTS_PLAFK,DRTS_PLAFK,9.05
ZINC000013472744,DRTS_PLAFK,DRTS_PLAFK,9.05
ZINC000013472718,DRTS_PLAFK,DRTS_PLAFK,9.04
ZINC000013472719,DRTS_PLAFK,DRTS_PLAFK,9.00
ZINC000013532888,DRTS_PLAFK,DRTS_PLAFK,9.00
ZINC000013555336,DRTS_PLAFK,DRTS_PLAFK,8.97
ZINC000000001233,DRTS_PLAFK,DRTS_PLAFK,8.96
ZINC000000146421,DRTS_PLAFK,DRTS_PLAFK,8.96
ZINC000001666573,DRTS_PLAFK,DRTS_PLAFK,8.96
ZINC000003581056,DRTS_PLAFK,DRTS_PLAFK,8.96
ZINC000013472717,DRTS_PLAFK,DRTS_PLAFK,8.96
ZINC000013559314,DRTS_PLAFK,DRTS_PLAFK,8.96
ZINC000013559315,DRTS_PLAFK,DRTS_PLAFK,8.96
ZINC000013472730,DRTS_PLAFK,DRTS_PLAFK,8.92
ZINC000013472731,DRTS_PLAFK,DRTS_PLAFK,8.89
ZINC000013472739,DRTS_PLAFK,DRTS_PLAFK,8.89
ZINC000013559322,DRTS_PLAFK,DRTS_PLAFK,8.89
ZINC000013559323,DRTS_PLAFK,DRTS_PLAFK,8.89
ZINC000004821963,DRTS_PLAFK,DRTS_PLAFK,8.85
ZINC000013559320,DRTS_PLAFK,DRTS_PLAFK,8.85
ZINC000013559321,DRTS_PLAFK,DRTS_PLAFK,8.85
ZINC000017353521,DRTS_PLAFK,DRTS_PLAFK,8.85
ZINC000013476296,DRTS_PLAFK,DRTS_PLAFK,8.80
ZINC000013476298,DRTS_PLAFK,DRTS_PLAFK,8.80
ZINC000013532863,DRTS_PLAFK,DRTS_PLAFK,8.80
ZINC000017040529,DRTS_PLAFK,DRTS_PLAFK,8.80
ZINC000013472735,DRTS_PLAFK,DRTS_PLAFK,8.77
ZINC000005888905,DRTS_PLAFK,DRTS_PLAFK,8.74
ZINC000013532849,DRTS_PLAFK,DRTS_PLAFK,8.74
ZINC000013532909,DRTS_PLAFK,DRTS_PLAFK,8.74
ZINC000013532938,DRTS_PLAFK,DRTS_PLAFK,8.74
ZINC000013559294,DRTS_PLAFK,DRTS_PLAFK,8.74
ZINC000013472728,DRTS_PLAFK,DRTS_PLAFK,8.72
ZINC000013532895,DRTS_PLAFK,DRTS_PLAFK,8.70
ZINC000027732635,DRTS_PLAFK,DRTS_PLAFK,8.70
ZINC000027732640,DRTS_PLAFK,DRTS_PLAFK,8.70
ZINC000000010466,DRTS_PLAFK,DRTS_PLAFK,8.66
ZINC000001666576,DRTS_PLAFK,DRTS_PLAFK,8.66
ZINC000013532859,DRTS_PLAFK,DRTS_PLAFK,8.66
ZINC000013282257,DRTS_PLAFK,DRTS_PLAFK,8.64
ZINC000013532914,DRTS_PLAFK,DRTS_PLAFK,8.64
ZINC000013559292,DRTS_PLAFK,DRTS_PLAFK,8.64
ZINC000013559318,DRTS_PLAFK,DRTS_PLAFK,8.64
ZINC000013559319,DRTS_PLAFK,DRTS_PLAFK,8.64
ZINC000013559306,DRTS_PLAFK,DRTS_PLAFK,8.62
ZINC000013559307,DRTS_PLAFK,DRTS_PLAFK,8.62
ZINC000013532854,DRTS_PLAFK,DRTS_PLAFK,8.60
ZINC000013809222,DRTS_PLAFK,DRTS_PLAFK,8.59
ZINC000013809223,DRTS_PLAFK,DRTS_PLAFK,8.59
ZINC000013476289,DRTS_PLAFK,DRTS_PLAFK,8.54
ZINC000013476290,DRTS_PLAFK,DRTS_PLAFK,8.54
ZINC000034801984,DRTS_PLAFK,DRTS_PLAFK,8.51
ZINC000013532930,DRTS_PLAFK,DRTS_PLAFK,8.47
ZINC000013532934,DRTS_PLAFK,DRTS_PLAFK,8.46
ZINC000013559298,DRTS_PLAFK,DRTS_PLAFK,8.46
ZINC000013559299,DRTS_PLAFK,DRTS_PLAFK,8.46
ZINC000001722911,DRTS_PLAFK,DRTS_PLAFK,8.44
ZINC000004983774,DRTS_PLAFK,DRTS_PLAFK,8.44
ZINC000013472737,DRTS_PLAFK,DRTS_PLAFK,8.43
ZINC000013809210,DRTS_PLAFK,DRTS_PLAFK,8.43
ZINC000013809212,DRTS_PLAFK,DRTS_PLAFK,8.43
ZINC000002034278,DRTS_PLAFK,DRTS_PLAFK,8.39
ZINC000002034279,DRTS_PLAFK,DRTS_PLAFK,8.39
