"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties"
"CHEMBL218328";"";"0";"438.53";"0";"4.17";"12i";"CN1CCCC1CCn1cc(C2=C(c3c[nH]c4ccccc34)C(=O)NC2=O)c2ccccc21";"IC50";"'='";"8300.0";"nM";"5.08";"";"";"UO_0000065";"11.59";"0.21";"0.91";"7.25";"False";"CHEMBL909821";"Inhibition of human recombinant SIRT2";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4462";"NAD-dependent deacetylase sirtuin 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1137294";"1";"Scientific Literature";"J. Med. Chem.";"2006";"None";""
"CHEMBL218910";"";"0";"507.52";"1";"1.95";"12e";"O=C1NC(=O)C(c2c[nH]c3cccc(F)c23)=C1c1cn(CCOC(CCO)C(O)CO)c2ccccc12";"IC50";"'='";"9500.0";"nM";"5.02";"";"";"UO_0000065";"9.90";"0.19";"3.07";"3.67";"False";"CHEMBL909821";"Inhibition of human recombinant SIRT2";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4462";"NAD-dependent deacetylase sirtuin 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1137294";"1";"Scientific Literature";"J. Med. Chem.";"2006";"None";""
"CHEMBL430574";"PAULLONE";"0";"248.29";"0";"3.33";"15b, paullone";"O=C1Cc2c([nH]c3ccccc23)-c2ccccc2N1";"IC50";"'='";"10000.0";"nM";"5.00";"";"";"UO_0000065";"20.14";"0.36";"1.67";"11.14";"False";"CHEMBL909830";"Inhibition of human recombinant SIRT2 by radioactive deacetylase assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4462";"NAD-dependent deacetylase sirtuin 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1137294";"1";"Scientific Literature";"J. Med. Chem.";"2006";"None";""
"CHEMBL3580806";"";"0";"394.88";"0";"4.77";"19";"N#Cc1ccc(NC(=O)c2cccc([S+]([O-])Cc3ccc(Cl)cc3)c2)cc1";"IC50";"'='";"7100.0";"nM";"5.15";"";"";"UO_0000065";"13.04";"0.26";"0.38";"7.36";"False";"CHEMBL3582613";"Inhibition of SIRT2 (unknown origin) by Flour-de-Lys fluorescent biochemical assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4462";"NAD-dependent deacetylase sirtuin 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3580657";"1";"Scientific Literature";"ACS Med. Chem. Lett.";"2015";"None";""
"CHEMBL4632398";"";"0";"381.86";"0";"4.03";"27c";"O=C1N/C(=C\c2ccc(N3CCCC3)cc2)C(=O)N1Cc1ccc(Cl)cc1";"IC50";"'='";"38800.0";"nM";"4.41";"";"";"UO_0000065";"11.55";"0.22";"0.38";"8.38";"False";"CHEMBL4613362";"Inhibition of recombinant human SIRT2 after 30 mins";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4462";"NAD-dependent deacetylase sirtuin 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4613206";"1";"Scientific Literature";"Eur J Med Chem";"2019";"None";""
"CHEMBL1945130";"";"0";"491.10";"0";"4.78";"Tnv-6, Tenovin-6";"CN(C)CCCCC(=O)Nc1ccc(NC(=S)NC(=O)c2ccc(C(C)(C)C)cc2)cc1.Cl";"IC50";"'='";"10400.0";"nM";"4.98";"";"";"UO_0000065";"10.96";"0.21";"0.20";"6.78";"False";"CHEMBL1947692";"Inhibition of recombinant human SitT2 by Fluor de Lys fluorescence assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4462";"NAD-dependent deacetylase sirtuin 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1944602";"1";"Scientific Literature";"Bioorg. Med. Chem.";"2012";"None";""
"CHEMBL3343528";"";"0";"263.30";"0";"3.08";"55";"NC(=O)c1cncc(Nc2cccc3ccccc23)c1";"IC50";"'='";"9700.0";"nM";"5.01";"";"";"UO_0000065";"19.04";"0.34";"1.93";"7.37";"False";"CHEMBL3383626";"Inhibition of full length human SIRT2 expressed in Escherichia coli BL21 (DE3) cells using fluorogenic 7-amino-4-methylcoumarin (AMC)-labeled peptide by fluorescence assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"BL21-DE3";"None";"";"";"";"CHEMBL4462";"NAD-dependent deacetylase sirtuin 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3351796";"1";"Scientific Literature";"J. Med. Chem.";"2014";"None";""
"CHEMBL3343526";"";"0";"280.35";"0";"3.48";"53";"NC(=O)c1cncc(Sc2ccc3ccccc3c2)c1";"IC50";"'='";"12100.0";"nM";"4.92";"";"";"UO_0000065";"17.54";"0.34";"1.44";"8.78";"False";"CHEMBL3383626";"Inhibition of full length human SIRT2 expressed in Escherichia coli BL21 (DE3) cells using fluorogenic 7-amino-4-methylcoumarin (AMC)-labeled peptide by fluorescence assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"BL21-DE3";"None";"";"";"";"CHEMBL4462";"NAD-dependent deacetylase sirtuin 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3351796";"1";"Scientific Literature";"J. Med. Chem.";"2014";"None";""
"CHEMBL2170194";"";"0";"282.32";"0";"1.75";"A";"O=C1NC(=S)NC(=O)C1=Cc1cccc2ccccc12";"IC50";"'='";"10000.0";"nM";"5.00";"";"";"UO_0000065";"17.71";"0.34";"3.25";"8.59";"False";"CHEMBL2184391";"Inhibition of human SIRT2";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4462";"NAD-dependent deacetylase sirtuin 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2176976";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2012";"None";""
"CHEMBL1835303";"";"0";"422.55";"0";"0.74";"19";"CC(=S)NCCCC[C@H](NC(=O)[C@H](N)Cc1ccccc1)C(=O)N[C@@H](C)C(=O)O";"IC50";"'='";"22400.0";"nM";"4.65";"";"";"UO_0000065";"11.00";"0.22";"3.91";"3.48";"False";"CHEMBL1839554";"Inhibition of recombinant GST-tagged SIRT2 at 200 uM after 1 hr by Fluor de Lys-based fluorescence assay";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL4462";"NAD-dependent deacetylase sirtuin 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1833937";"1";"Scientific Literature";"J. Med. Chem.";"2011";"None";""
